ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,ゆせ,程,13.6,2.02,0.22,0.03,0.2,3.7,4.2,0.2,9.0,7.0,0.0,35.0,1.1,2.06,0.0,0.0,0.2,0.1
2022-01-08,ゆせ,程,10.5,2.03,0.24,0.04,0.5,4.9,6.8,0.5,12.0,6.0,0.0,47.0,1.0,2.09,0.0,0.0,0.2,0.1
2022-01-15,ゆせ,程,14.5,2.02,0.2,0.04,0.7,5.6,7.0,0.1,13.0,4.0,0.0,51.0,0.7,2.06,0.0,0.0,0.2,0.0
2022-01-22,ゆせ,程,16.9,2.01,0.21,0.05,0.7,5.5,6.6,0.1,13.0,5.0,0.0,57.0,0.9,2.08,0.0,0.0,0.3,0.0
2022-01-29,ゆせ,程,11.3,2.05,0.24,0.02,0.0,3.0,3.2,4.1,8.0,4.0,0.0,63.0,0.7,2.08,0.0,0.0,0.3,0.1
2022-02-05,ゆせ,程,12.4,2.04,0.27,0.02,0.2,3.0,4.3,1.1,8.0,3.0,0.0,59.0,0.8,2.07,0.0,0.0,0.3,0.2
2022-02-12,ゆせ,程,14.2,2.04,0.27,0.03,0.2,3.8,5.3,0.5,2.0,5.0,0.0,62.0,0.8,2.11,0.0,0.0,0.3,0.1
2022-02-19,ゆせ,程,10.5,2.04,0.25,0.01,0.3,2.4,3.4,0.3,5.0,4.0,0.0,64.0,0.8,2.08,0.0,0.0,0.3,0.3
2022-02-26,ゆせ,程,15.3,2.0,0.25,0.02,0.7,3.0,4.3,0.1,26.0,12.0,0.0,42.0,0.8,2.02,0.0,0.0,0.2,0.1
2022-03-05,ゆせ,程,11.3,2.02,0.23,0.01,0.6,4.0,5.1,5.6,8.0,4.0,0.0,37.0,0.7,2.04,0.0,0.0,0.2,0.2
2022-03-12,ゆせ,程,18.1,2.02,0.18,0.0,0.0,2.5,2.8,1.4,17.0,9.0,0.0,36.0,0.5,2.02,0.0,0.0,0.3,0.1
2022-03-19,ゆせ,程,15.5,2.08,0.22,0.03,0.7,4.0,5.0,1.7,7.0,8.0,0.0,56.0,1.0,2.12,0.0,0.0,0.2,0.0
2022-03-26,ゆせ,程,15.7,2.04,0.13,0.02,0.3,2.7,3.5,2.4,10.0,4.0,0.0,67.0,0.8,2.06,0.0,0.0,0.3,0.0
2022-04-02,ゆせ,程,13.7,2.02,0.18,0.01,0.4,2.4,3.6,2.2,8.0,5.0,0.0,41.0,0.0,2.03,0.0,0.0,0.2,0.1
2022-04-09,ゆせ,程,20.6,1.97,0.13,0.0,0.0,3.2,4.0,1.3,11.0,8.0,0.0,41.0,1.0,1.99,0.0,1.0,0.2,0.0
2022-04-16,ゆせ,程,17.2,1.95,0.19,0.02,0.0,3.3,4.0,1.9,14.0,9.0,0.0,57.0,0.9,1.99,0.0,0.0,0.2,0.1
2022-04-23,ゆせ,程,23.3,1.87,0.1,0.01,0.0,4.0,4.4,0.5,11.0,2.0,0.0,54.0,0.4,1.9,0.0,0.0,0.2,0.0
2022-04-30,ゆせ,程,16.6,1.96,0.17,0.01,0.0,4.6,4.4,6.5,9.0,3.0,0.0,66.0,0.9,2.01,1.0,0.0,0.2,0.1
2022-05-07,ゆせ,程,23.6,1.9,0.12,0.02,0.0,4.0,4.9,1.7,13.0,5.0,0.0,61.0,0.9,1.95,2.0,1.0,0.2,0.2
2022-05-14,ゆせ,程,17.8,1.91,0.11,0.01,0.0,4.0,3.8,3.0,5.0,0.0,0.0,70.0,0.8,1.94,0.0,0.0,0.2,0.0
2022-05-21,ゆせ,程,23.6,1.87,0.08,0.0,0.6,1.4,2.4,1.2,9.0,1.0,0.0,75.0,0.8,1.87,1.0,0.0,0.2,0.1
2022-05-28,ゆせ,程,24.8,1.86,0.08,0.0,0.1,1.9,3.1,1.7,0.0,0.0,0.0,69.0,0.9,1.87,19.0,0.0,0.3,0.2
2022-06-04,ゆせ,程,24.2,1.85,0.08,0.0,0.1,1.2,1.9,2.3,5.0,2.0,0.0,72.0,0.6,1.88,2.0,2.0,0.2,0.0
2022-06-11,ゆせ,程,25.4,1.85,0.08,0.0,0.4,1.6,2.7,2.2,7.0,0.0,0.0,52.0,0.8,1.87,10.0,26.0,0.2,0.2
2022-06-18,ゆせ,程,24.2,1.86,0.08,0.0,0.1,0.9,2.6,4.8,6.0,2.0,0.0,49.0,0.6,1.87,35.0,2.0,0.3,0.0
2022-06-25,ゆせ,程,24.4,1.87,0.09,0.0,0.0,1.3,1.9,1.1,4.0,0.0,0.0,61.0,0.8,1.88,3.0,0.0,0.2,0.0
2022-07-02,ゆせ,程,25.0,1.87,0.08,0.0,0.2,1.1,2.2,3.5,3.0,0.0,0.0,54.0,0.8,1.88,3.0,1.0,0.2,0.1
2022-07-09,ゆせ,程,25.5,1.9,0.08,0.0,0.0,1.5,2.0,4.9,5.0,0.0,0.0,51.0,0.7,1.91,0.0,2.0,0.2,0.1
2022-07-16,ゆせ,程,27.0,1.88,0.09,0.0,0.3,1.3,2.4,2.0,9.0,0.0,0.0,48.0,0.9,1.89,0.0,17.0,0.3,0.2
2022-07-23,ゆせ,程,28.0,1.9,0.1,0.0,0.2,1.7,2.5,3.5,11.0,0.0,0.0,43.0,1.0,1.9,4.0,2.0,0.3,0.1
2022-07-30,ゆせ,程,25.1,1.9,0.11,0.0,0.2,1.2,2.4,4.3,7.0,0.0,0.0,48.0,1.0,1.89,6.0,2.0,0.2,0.0
2022-08-06,ゆせ,程,25.1,1.91,0.1,0.0,0.0,1.4,1.9,2.7,8.0,2.0,0.0,50.0,0.8,1.9,0.0,0.0,0.2,0.1
2022-08-13,ゆせ,程,25.9,1.91,0.1,0.0,0.2,1.0,2.8,4.4,6.0,0.0,0.0,45.0,0.8,1.91,1.0,0.0,0.2,0.0
2022-08-20,ゆせ,程,26.7,1.91,0.1,0.0,0.0,1.4,2.2,4.3,8.0,0.0,0.0,43.0,0.8,1.91,14.0,2.0,0.2,0.0
2022-08-27,ゆせ,程,25.7,1.9,0.11,0.0,0.0,1.4,1.9,8.1,8.0,1.0,0.0,42.0,0.7,1.9,0.0,0.0,0.2,0.1
2022-09-03,ゆせ,程,25.6,1.93,0.1,0.0,0.0,1.1,1.7,5.5,8.0,1.0,0.0,45.0,0.4,1.91,3.0,0.0,0.2,0.2
2022-09-10,ゆせ,程,25.1,1.92,0.11,0.0,0.2,0.8,2.5,4.3,10.0,0.0,0.0,41.0,1.0,1.92,2.0,0.0,0.2,0.0
2022-09-17,ゆせ,程,24.1,2.0,0.18,0.0,0.2,1.1,2.4,6.5,24.0,9.0,0.0,36.0,1.0,2.02,1.0,0.0,0.2,0.2
2022-09-24,ゆせ,程,24.5,1.98,0.14,0.0,0.3,0.9,2.7,4.0,20.0,10.0,0.0,48.0,1.0,1.99,0.0,0.0,0.2,0.1
2022-10-01,ゆせ,程,26.0,1.98,0.17,0.0,0.2,2.1,3.0,8.1,22.0,7.0,0.0,44.0,0.8,1.98,0.0,0.0,0.2,0.1
2022-10-08,ゆせ,程,21.0,2.01,0.15,0.0,0.0,1.7,1.9,0.9,11.0,2.0,0.0,47.0,1.0,2.01,0.0,0.0,0.3,0.1
2022-10-15,ゆせ,程,20.7,1.98,0.14,0.0,0.0,2.6,3.1,0.3,6.0,1.0,0.0,46.0,0.1,2.01,0.0,0.0,0.2,0.1
2022-10-22,ゆせ,程,20.7,1.99,0.14,0.01,0.4,2.3,3.6,3.2,17.0,6.0,0.0,46.0,0.7,2.01,0.0,0.0,0.2,0.0
2022-10-29,ゆせ,程,21.2,1.98,0.14,0.01,0.0,3.0,4.2,1.2,3.0,0.0,0.0,50.0,0.9,2.01,0.0,0.0,0.2,0.0
2022-11-05,ゆせ,程,20.1,1.95,0.15,0.02,0.0,4.0,5.3,1.7,12.0,1.0,0.0,52.0,0.7,1.99,1.0,0.0,0.2,0.0
2022-11-12,ゆせ,程,21.9,2.0,0.21,0.02,0.6,3.6,4.5,0.2,28.0,8.0,0.0,45.0,0.7,2.03,0.0,0.0,0.2,0.0
2022-11-19,ゆせ,程,21.8,1.96,0.19,0.01,0.3,2.7,3.9,0.4,18.0,6.0,0.0,51.0,0.8,1.98,2.0,0.0,0.2,0.0
2022-11-26,ゆせ,程,19.2,1.93,0.15,0.0,0.0,2.6,3.5,1.2,6.0,0.0,0.0,43.0,0.9,1.95,1.0,0.0,0.2,0.0
2022-12-03,ゆせ,程,16.9,1.97,0.18,0.01,0.5,4.4,5.9,0.2,9.0,1.0,0.0,50.0,1.0,2.0,0.0,0.0,0.2,0.1
2022-12-10,ゆせ,程,16.4,1.97,0.17,0.01,0.0,3.5,4.4,0.4,8.0,3.0,0.0,46.0,0.9,1.99,0.0,0.0,0.3,0.1
2022-12-17,ゆせ,程,10.3,1.95,0.16,0.01,0.3,2.7,3.3,1.6,5.0,3.0,0.0,10.0,0.1,1.99,0.0,0.0,0.2,0.0
2022-12-24,ゆせ,程,8.7,1.97,0.19,0.02,0.2,3.3,4.4,1.3,11.0,6.0,0.0,24.0,0.9,2.01,0.0,0.0,0.2,0.0
