ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,籓玭,程,15.4,1.95,0.23,0.04,0.0,7.4,8.9,1.4,13.0,9.0,0.0,31.0,0.8,2.0,0.0,0.0,0.2,0.1
2022-01-08,籓玭,程,11.9,1.94,0.27,0.04,0.0,7.4,8.4,2.1,21.0,9.0,0.0,43.0,0.5,1.99,0.0,1.0,0.9,0.9
2022-01-15,籓玭,程,15.6,1.93,0.26,0.06,0.0,6.8,7.7,2.3,15.0,11.0,0.0,50.0,0.4,2.0,0.0,0.0,0.8,0.7
2022-01-22,籓玭,程,17.9,1.9,0.19,0.02,0.0,7.2,8.4,0.0,10.0,7.0,0.0,52.0,0.2,1.95,0.0,0.0,0.2,0.1
2022-01-29,籓玭,程,12.3,1.94,0.18,0.01,0.0,4.5,5.0,7.3,9.0,4.0,0.0,50.0,0.2,1.97,0.0,0.0,0.7,0.4
2022-02-05,籓玭,程,14.1,1.95,0.19,0.03,0.0,5.9,6.2,4.6,2.0,4.0,0.0,47.0,0.5,1.98,0.0,0.0,0.2,0.4
2022-02-12,籓玭,程,15.4,1.94,0.21,0.04,0.0,6.0,6.5,6.6,10.0,6.0,0.0,52.0,0.4,2.01,0.0,0.0,1.1,1.0
2022-02-19,籓玭,程,11.0,1.92,0.18,0.02,0.0,5.7,6.2,3.9,2.0,4.0,0.0,62.0,0.4,1.97,0.0,0.0,0.3,0.7
2022-02-26,籓玭,程,15.9,1.8,0.22,0.02,0.0,6.4,7.4,0.2,21.0,10.0,0.0,43.0,0.7,1.94,0.0,1.0,0.2,0.1
2022-03-05,籓玭,程,12.4,1.91,0.18,0.02,0.0,5.6,5.8,0.2,6.0,0.0,0.0,39.0,0.2,1.96,0.0,0.0,0.2,0.0
2022-03-12,籓玭,程,20.5,1.89,0.18,0.03,0.0,5.1,5.4,1.6,21.0,14.0,0.0,38.0,0.0,1.93,0.0,4.0,0.2,0.1
2022-03-19,籓玭,程,17.4,1.83,0.16,0.01,0.0,4.7,5.7,0.0,10.0,9.0,0.0,56.0,0.2,1.87,0.0,0.0,0.2,0.0
2022-03-26,籓玭,程,17.9,1.82,0.1,0.0,0.2,2.9,3.8,0.9,10.0,8.0,0.0,55.0,0.3,1.82,2.0,0.0,0.2,0.0
2022-04-02,籓玭,程,14.8,1.92,0.16,0.01,0.1,4.3,5.4,7.8,5.0,7.0,0.0,42.0,0.7,1.94,0.0,0.0,0.3,0.1
2022-04-09,籓玭,程,21.8,1.85,0.08,0.0,0.0,3.8,4.2,3.4,15.0,7.0,0.0,44.0,0.0,1.84,0.0,1.0,0.3,0.0
2022-04-16,籓玭,程,20.0,1.85,0.14,0.02,0.0,3.9,4.7,1.9,15.0,9.0,0.0,53.0,0.1,1.91,0.0,0.0,0.3,0.2
2022-04-23,籓玭,程,25.8,1.8,0.07,0.0,0.0,2.0,2.6,0.0,6.0,2.0,0.0,55.0,0.0,1.8,4.0,0.0,0.3,0.2
2022-04-30,籓玭,程,17.7,1.89,0.08,0.0,0.0,4.5,5.4,7.6,5.0,4.0,0.0,60.0,0.0,1.92,0.0,0.0,0.2,0.2
2022-05-07,籓玭,程,24.9,1.81,0.1,0.0,0.0,3.2,4.1,0.1,6.0,3.0,0.0,52.0,0.3,1.81,0.0,0.0,0.2,0.1
2022-05-14,籓玭,程,19.2,1.83,0.12,0.0,0.0,3.6,4.9,0.0,3.0,0.0,0.0,58.0,0.0,1.83,0.0,0.0,0.3,0.2
2022-05-21,籓玭,程,25.3,1.8,0.07,0.0,0.0,2.7,2.8,3.3,3.0,1.0,0.0,58.0,0.0,1.8,0.0,1.0,0.3,0.0
2022-05-28,籓玭,程,26.5,1.77,0.04,0.0,0.0,1.8,2.5,0.2,4.0,0.0,0.0,56.0,0.2,1.76,46.0,37.0,0.3,0.1
2022-06-04,籓玭,程,25.1,1.77,0.07,0.0,0.0,1.6,2.3,0.1,4.0,0.0,0.0,67.0,0.0,1.77,51.0,10.0,0.3,0.3
2022-06-11,籓玭,程,25.1,1.76,0.05,0.0,0.0,1.8,2.5,0.3,3.0,0.0,0.0,54.0,0.0,1.77,3.0,4.0,0.2,0.0
2022-06-18,籓玭,程,28.4,1.77,0.06,0.0,0.1,1.8,2.5,1.8,7.0,0.0,0.0,55.0,0.0,1.77,73.0,30.0,0.3,0.1
2022-06-25,籓玭,程,27.2,1.79,0.04,0.0,0.1,1.5,1.7,3.4,5.0,0.0,0.0,59.0,0.1,1.77,12.0,16.0,0.2,0.0
