ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,確砍,程,26.3,2.36,1.88,0.65,42.1,49.8,72.9,76.6,104.0,64.0,0.0,92.0,8.7,2.96,351.0,298.0,2.5,1.5
2022-01-08,確砍,程,24.0,2.31,1.45,1.85,43.4,44.6,82.9,62.9,173.0,66.0,0.0,93.0,5.2,3.97,347.0,300.0,3.0,1.9
2022-01-15,確砍,程,25.5,2.37,1.81,0.67,34.5,51.0,76.4,87.0,120.0,64.0,0.5,95.0,4.9,3.04,290.0,299.0,2.0,1.4
2022-01-22,確砍,程,26.3,2.34,1.74,0.71,55.9,41.0,85.9,85.4,117.0,93.0,4.0,100.0,5.4,3.03,331.0,308.0,2.4,1.6
2022-01-29,確砍,程,23.9,2.25,0.94,0.31,15.4,30.7,39.8,60.8,54.0,35.0,4.5,100.0,4.4,2.54,333.0,352.0,2.8,1.6
2022-02-05,確砍,程,25.3,2.29,1.83,0.66,33.2,63.4,96.6,67.4,100.0,80.0,1.0,100.0,5.0,2.93,322.0,311.0,2.4,1.7
2022-02-12,確砍,程,25.3,2.39,1.4,0.48,26.3,46.1,61.1,64.9,135.0,71.0,2.0,100.0,5.8,2.84,346.0,317.0,2.5,1.9
2022-02-19,確砍,程,24.2,2.24,1.45,0.55,27.1,36.6,55.8,81.6,63.0,48.0,5.0,100.0,2.3,2.79,346.0,351.0,2.5,1.5
2022-02-26,確砍,程,28.2,2.56,2.07,0.92,51.1,54.4,103.1,82.4,142.0,108.0,0.0,100.0,2.6,3.48,342.0,312.0,2.3,1.6
2022-03-05,確砍,程,28.2,2.44,1.32,0.62,16.4,36.8,51.6,80.4,100.0,70.0,0.0,91.0,7.1,2.82,302.0,309.0,3.3,1.6
2022-03-12,確砍,程,29.8,2.57,1.43,0.87,16.6,38.0,45.1,94.8,102.0,55.0,0.0,94.0,6.4,3.02,321.0,300.0,2.5,1.6
2022-03-19,確砍,程,30.6,2.4,1.41,0.9,30.3,48.9,78.4,86.9,105.0,55.0,10.0,100.0,10.4,3.16,300.0,341.0,2.3,1.5
2022-03-26,確砍,程,30.9,2.54,1.49,0.61,22.0,41.0,51.9,91.6,109.0,64.0,0.0,100.0,4.4,3.12,345.0,321.0,2.4,1.5
2022-04-02,確砍,程,27.1,2.35,1.07,0.77,13.4,34.5,40.9,81.2,76.0,45.0,0.5,89.0,5.8,2.75,325.0,306.0,2.3,1.4
2022-04-09,確砍,程,30.2,2.46,0.9,0.29,7.8,30.1,31.2,81.3,76.0,45.0,0.0,80.0,16.9,2.63,345.0,309.0,2.5,1.4
2022-04-16,確砍,程,31.2,2.39,1.36,0.51,13.5,35.1,40.4,87.8,110.0,65.0,0.0,82.0,9.4,2.9,295.0,304.0,2.0,1.4
2022-04-23,確砍,程,32.6,2.3,0.67,0.48,9.7,18.6,27.3,41.5,158.0,38.0,0.0,87.0,115.9,2.39,298.0,306.0,2.7,1.6
2022-04-30,確砍,程,30.8,2.31,1.27,0.51,17.6,26.5,41.5,80.9,72.0,48.0,4.5,96.0,3.3,2.73,290.0,299.0,2.6,1.6
2022-05-07,確砍,程,31.2,2.49,1.14,0.69,17.7,40.8,49.7,95.4,63.0,39.0,18.5,96.0,7.9,3.03,287.0,292.0,2.6,1.8
2022-05-14,確砍,程,30.3,2.41,1.3,0.49,17.5,37.0,40.6,75.9,85.0,54.0,17.5,100.0,7.2,2.83,308.0,321.0,2.1,1.6
2022-05-21,確砍,程,30.2,2.4,0.8,0.28,11.5,34.8,41.4,83.9,77.0,57.0,35.0,100.0,8.6,2.49,283.0,300.0,2.4,1.4
2022-05-28,確砍,程,32.4,2.61,0.79,0.3,17.5,23.4,35.2,26.4,29.0,17.0,4.0,92.0,3.9,2.7,298.0,303.0,1.8,1.2
2022-06-04,確砍,程,32.2,2.44,1.22,0.37,19.8,21.6,41.2,25.7,29.0,16.0,14.0,96.0,12.9,2.55,297.0,300.0,1.8,1.5
2022-06-11,確砍,程,32.4,2.38,0.87,0.58,14.2,18.0,31.6,27.2,22.0,11.0,19.5,96.0,4.9,2.53,290.0,293.0,1.6,1.1
2022-06-18,確砍,程,33.8,2.39,0.71,0.63,8.4,15.7,21.0,31.0,97.0,27.0,1.0,86.0,13.2,2.53,302.0,303.0,2.3,1.6
2022-06-25,確砍,程,33.6,2.18,0.89,0.38,9.5,25.8,31.4,84.7,59.0,18.0,9.5,97.0,9.3,2.37,296.0,321.0,2.1,1.4
2022-07-02,確砍,程,33.7,2.31,1.04,0.41,15.5,23.2,37.9,53.3,29.0,19.0,16.0,97.0,5.5,2.44,303.0,310.0,2.2,1.7
2022-07-09,確砍,程,33.4,2.26,0.83,0.31,10.7,22.4,32.6,31.9,31.0,20.0,3.5,97.0,6.4,2.44,304.0,313.0,2.5,1.9
2022-07-16,確砍,程,33.7,2.38,0.67,0.94,10.9,17.0,23.6,51.1,36.0,13.0,17.5,97.0,6.1,2.84,304.0,308.0,2.4,1.4
2022-07-23,確砍,程,33.6,2.18,0.71,0.24,11.3,17.3,23.2,47.4,31.0,14.0,0.0,83.0,4.4,2.28,301.0,311.0,2.1,1.7
2022-07-30,確砍,程,33.4,2.29,0.89,0.37,15.1,32.8,37.7,64.7,38.0,22.0,6.5,94.0,5.5,2.43,295.0,297.0,2.4,1.4
