ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,オ犁,程,16.1,1.94,0.22,0.01,0.0,8.5,9.3,5.4,25.0,9.0,0.0,36.0,1.3,1.96,0.0,0.0,0.5,0.6
2022-01-08,オ犁,程,12.2,1.95,0.24,0.02,0.1,9.1,10.1,2.5,20.0,11.0,0.0,39.0,1.5,1.98,1.0,0.0,0.7,0.8
2022-01-15,オ犁,程,15.7,1.95,0.23,0.03,0.0,9.0,10.0,1.3,9.0,8.0,0.0,48.0,1.5,1.99,0.0,0.0,0.4,0.2
2022-01-22,オ犁,程,18.5,1.93,0.21,0.0,0.2,7.9,9.0,0.6,17.0,11.0,0.0,65.0,1.2,1.96,0.0,0.0,0.5,0.0
2022-01-29,オ犁,程,13.3,1.97,0.24,0.02,0.0,5.7,6.6,4.9,9.0,7.0,0.0,55.0,1.0,2.0,0.0,0.0,0.3,0.3
2022-02-05,オ犁,程,14.5,1.95,0.22,0.02,0.0,5.5,6.2,1.2,5.0,2.0,0.0,52.0,1.1,1.99,0.0,1.0,0.6,0.1
2022-02-12,オ犁,程,15.7,1.97,0.25,0.01,0.2,6.4,7.5,5.0,17.0,9.0,0.0,59.0,1.2,1.99,0.0,0.0,0.5,0.1
2022-02-19,オ犁,程,12.0,1.93,0.22,0.02,0.0,7.0,7.8,1.1,7.0,3.0,0.0,72.0,1.1,1.96,0.0,0.0,0.6,0.5
2022-02-26,オ犁,程,16.3,1.92,0.21,0.0,0.0,6.0,6.1,0.1,25.0,9.0,0.0,NaN,0.8,1.92,1.0,0.0,0.3,0.0
2022-03-05,オ犁,程,12.3,1.91,0.16,0.0,0.0,4.8,5.3,7.9,10.0,2.0,0.0,NaN,0.5,1.92,1.0,0.0,0.5,0.2
2022-03-12,オ犁,程,20.5,1.88,0.14,0.0,0.0,4.7,5.2,3.3,18.0,9.0,0.0,NaN,0.2,1.87,2.0,2.0,0.3,0.0
2022-03-19,オ犁,程,18.6,1.83,0.13,0.0,0.0,4.0,4.4,0.0,11.0,5.0,0.0,NaN,0.5,1.82,1.0,0.0,0.3,0.1
2022-03-26,オ犁,程,19.3,1.83,0.1,0.0,0.0,1.4,2.1,0.0,12.0,6.0,0.0,51.0,0.8,1.83,1.0,0.0,0.4,0.3
2022-04-02,オ犁,程,15.4,1.91,0.17,0.0,0.0,3.8,4.4,1.5,11.0,10.0,0.0,52.0,0.9,1.91,0.0,0.0,0.3,0.2
2022-04-09,オ犁,程,22.4,1.84,0.1,0.0,0.0,2.5,3.3,6.4,19.0,3.0,0.0,47.0,0.7,1.83,0.0,1.0,0.5,0.2
2022-04-16,オ犁,程,21.9,1.8,0.16,0.0,0.0,2.8,2.8,0.2,12.0,5.0,0.0,54.0,0.9,1.84,1.0,0.0,0.5,0.2
2022-04-23,オ犁,程,27.2,1.8,0.09,0.0,0.0,0.7,0.9,0.8,11.0,2.0,0.0,53.0,0.0,1.78,0.0,6.0,0.7,0.1
2022-04-30,オ犁,程,18.7,1.88,0.16,0.0,0.0,2.3,2.2,5.2,10.0,5.0,0.0,57.0,0.0,1.88,0.0,0.0,0.5,0.3
2022-05-07,オ犁,程,24.9,1.8,0.11,0.0,0.0,1.9,2.3,2.5,6.0,3.0,0.0,51.0,0.6,1.8,0.0,0.0,0.5,0.2
2022-05-14,オ犁,程,20.0,1.83,0.15,0.01,0.0,2.2,2.0,0.4,7.0,0.0,0.0,63.0,0.1,1.85,0.0,0.0,0.5,0.2
2022-05-21,オ犁,程,25.6,1.8,0.1,0.0,0.0,0.3,0.7,1.0,3.0,1.0,0.0,68.0,0.0,1.83,8.0,3.0,0.4,0.2
2022-05-28,オ犁,程,27.1,1.77,0.06,0.0,0.0,0.4,0.4,0.6,4.0,0.0,0.0,55.0,0.1,1.76,2.0,5.0,0.5,0.2
2022-06-04,オ犁,程,26.1,1.78,0.08,0.0,0.0,0.8,0.4,0.9,1.0,2.0,0.0,58.0,0.2,1.78,3.0,4.0,0.4,0.1
2022-06-11,オ犁,程,26.2,1.76,0.07,0.0,0.0,0.3,0.3,1.2,1.0,1.0,0.0,45.0,0.0,1.74,0.0,0.0,0.5,0.1
2022-06-18,オ犁,程,28.8,1.78,0.07,0.0,0.0,0.2,0.4,0.4,2.0,0.0,0.0,52.0,0.1,1.76,2.0,14.0,0.5,0.1
2022-06-25,オ犁,程,27.0,1.78,0.07,0.0,0.0,0.4,0.2,1.3,6.0,0.0,0.0,53.0,0.3,1.77,0.0,3.0,0.4,0.3
2022-07-02,オ犁,程,26.1,1.8,0.08,0.0,0.0,1.0,0.8,0.2,3.0,0.0,0.0,50.0,0.8,1.82,9.0,2.0,0.5,0.1
2022-07-09,オ犁,程,27.1,1.8,0.06,0.0,0.0,0.2,0.3,0.0,3.0,0.0,0.0,54.0,0.4,1.79,0.0,1.0,0.5,0.1
2022-07-16,オ犁,程,28.2,1.78,0.06,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,58.0,0.0,1.76,12.0,2.0,0.2,0.0
2022-07-23,オ犁,程,29.3,1.79,0.06,0.0,0.0,0.0,0.0,3.4,4.0,0.0,0.0,63.0,0.0,1.77,1.0,0.0,0.3,0.4
2022-07-30,オ犁,程,27.5,1.81,0.09,0.0,0.0,0.0,0.0,0.7,4.0,0.0,0.0,50.0,0.2,1.8,1.0,0.0,0.2,0.2
2022-08-06,オ犁,程,26.8,1.8,0.1,0.0,0.0,0.1,0.5,2.7,6.0,1.0,0.0,55.0,0.0,1.8,1.0,1.0,0.2,0.2
2022-08-13,オ犁,程,27.1,1.8,0.08,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,57.0,0.0,1.78,4.0,5.0,0.3,0.3
2022-08-20,オ犁,程,28.7,1.79,0.06,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,57.0,0.2,1.78,4.0,3.0,0.2,0.3
2022-08-27,オ犁,程,27.0,1.8,0.09,0.0,0.0,0.3,0.6,0.9,10.0,3.0,0.0,64.0,0.5,1.78,0.0,0.0,0.2,0.2
2022-09-03,オ犁,程,26.8,1.86,0.11,0.0,0.0,1.9,2.0,10.6,8.0,2.0,0.0,68.0,0.5,1.84,3.0,0.0,0.3,0.1
2022-09-10,オ犁,程,26.6,1.87,0.11,0.0,0.0,2.6,3.3,10.5,8.0,0.0,0.0,48.0,0.6,1.89,0.0,0.0,0.3,0.4
2022-09-17,オ犁,程,26.6,1.91,0.14,0.0,0.1,3.1,3.4,14.5,16.0,6.0,0.0,57.0,0.6,1.9,0.0,2.0,0.2,0.2
2022-09-24,オ犁,程,26.8,1.86,0.09,0.0,0.0,2.4,3.1,2.3,9.0,3.0,0.0,66.0,0.8,1.84,3.0,0.0,0.2,0.2
2022-10-01,オ犁,程,28.3,1.85,0.11,0.0,0.0,2.7,3.2,12.8,12.0,8.0,0.0,60.0,0.9,1.84,0.0,3.0,0.2,0.2
2022-10-08,オ犁,程,22.5,1.93,0.18,0.0,0.0,3.8,4.4,5.8,8.0,5.0,0.0,54.0,0.7,1.95,0.0,0.0,0.4,0.3
2022-10-15,オ犁,程,22.7,1.93,0.16,0.0,0.0,4.8,5.5,0.2,14.0,2.0,0.0,57.0,1.1,1.94,0.0,0.0,0.2,0.1
2022-10-22,オ犁,程,23.9,1.92,0.14,0.0,0.0,4.0,4.3,1.7,24.0,2.0,0.0,58.0,0.7,1.92,0.0,0.0,0.2,0.2
2022-10-29,オ犁,程,22.4,1.9,0.18,0.0,0.1,5.5,6.3,0.6,8.0,1.0,0.0,64.0,0.4,1.9,0.0,0.0,0.3,0.2
2022-11-05,オ犁,程,22.5,1.89,0.13,0.0,0.0,3.4,4.7,0.7,18.0,7.0,0.0,NaN,0.7,1.89,0.0,1.0,0.3,0.3
2022-11-12,オ犁,程,23.2,1.94,0.2,0.0,0.0,5.2,5.6,2.2,27.0,8.0,0.0,61.0,0.5,1.95,0.0,0.0,0.0,0.0
2022-11-19,オ犁,程,23.3,1.8,0.18,0.0,0.0,4.3,5.1,0.0,28.0,10.0,0.0,67.0,0.2,1.82,0.0,0.0,0.0,0.0
2022-11-26,オ犁,程,20.6,1.88,0.14,0.0,0.0,3.3,3.6,0.0,8.0,1.0,0.0,49.0,0.7,1.89,0.0,0.0,0.0,0.0
2022-12-03,オ犁,程,18.8,1.95,0.2,0.01,0.0,2.1,3.1,2.7,11.0,3.0,0.0,39.0,0.5,1.98,0.0,0.0,0.4,0.6
2022-12-10,オ犁,程,18.1,1.95,0.22,0.01,0.0,6.3,6.7,1.2,13.0,7.0,0.0,50.0,0.8,1.96,0.0,0.0,0.5,0.9
2022-12-17,オ犁,程,12.3,1.95,0.2,0.02,0.0,7.6,7.9,2.8,7.0,3.0,0.0,23.0,0.4,1.99,0.0,0.0,0.3,0.3
2022-12-24,オ犁,程,11.5,1.95,0.22,0.02,0.1,5.3,6.3,3.2,20.0,11.0,0.0,30.0,0.9,1.98,0.0,0.0,0.3,0.1
