ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,裹て,程,16.4,2.01,0.12,0.0,0.0,4.1,4.4,9.0,6.0,3.0,0.0,47.0,0.5,2.04,0.0,0.0,0.4,0.4
2023-01-08,裹て,程,17.3,2.0,0.13,0.02,0.0,3.9,4.4,0.2,24.0,8.0,0.0,47.0,0.2,2.02,0.0,0.0,0.2,0.1
2023-01-15,裹て,程,13.3,2.0,0.15,0.0,0.1,3.9,4.9,8.8,6.0,3.0,0.0,58.0,0.4,1.99,0.0,0.0,0.4,0.6
2023-01-22,裹て,程,10.3,2.01,0.15,0.01,0.0,2.5,2.8,0.9,11.0,0.0,0.0,39.0,0.3,2.03,0.0,0.0,0.3,0.2
2023-01-29,裹て,程,10.4,2.01,0.18,0.02,0.0,4.9,5.9,1.9,26.0,11.0,0.0,27.0,0.6,2.06,0.0,0.0,0.3,0.6
2023-02-05,裹て,程,16.4,1.98,0.19,0.0,0.0,3.3,4.2,0.1,9.0,5.0,0.0,68.0,0.4,2.03,0.0,0.0,0.3,0.2
2023-02-12,裹て,程,13.2,1.98,0.15,0.0,0.0,2.7,4.3,0.5,14.0,4.0,0.0,42.0,0.5,2.0,0.0,0.0,0.2,0.0
2023-02-19,裹て,程,15.0,1.99,0.13,0.01,0.0,4.0,4.1,3.4,7.0,4.0,0.0,47.0,0.0,2.03,0.0,0.0,0.3,0.3
2023-02-26,裹て,程,14.5,1.99,0.14,0.01,0.0,3.6,4.4,15.4,15.0,2.0,0.0,44.0,0.5,2.03,0.0,0.0,0.3,0.2
2023-03-05,裹て,程,15.3,1.99,0.22,0.01,0.0,4.6,5.1,7.2,21.0,14.0,0.0,31.0,0.6,2.01,0.0,0.0,0.3,0.2
2023-03-12,裹て,程,16.4,1.96,0.17,0.01,0.0,4.6,5.4,5.4,9.0,8.0,0.0,44.0,0.4,1.97,0.0,1.0,0.3,0.1
2023-03-19,裹て,程,19.7,1.96,0.14,0.0,0.0,3.2,4.0,0.3,8.0,4.0,0.0,53.0,0.1,1.99,0.0,0.0,0.3,0.1
2023-03-26,裹て,程,17.1,2.0,0.16,0.01,0.0,3.5,4.5,0.5,9.0,3.0,0.0,61.0,0.2,2.02,0.0,0.0,0.3,0.1
2023-04-02,裹て,程,19.2,2.02,0.16,0.0,0.0,4.3,4.3,1.3,4.0,4.0,0.0,46.0,0.3,2.04,0.0,1.0,0.3,0.1
2023-04-09,裹て,程,19.2,1.98,0.18,0.01,0.0,4.4,4.4,1.0,19.0,9.0,0.0,46.0,0.2,2.03,0.0,0.0,0.3,0.0
