ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,﹁べ,程,16.2,1.92,0.14,0.0,0.0,3.3,4.2,10.9,3.0,0.0,0.0,43.0,0.3,1.94,0.0,0.0,0.3,0.3
2023-01-08,﹁べ,程,17.1,1.89,0.12,0.0,0.0,4.3,4.7,1.4,20.0,8.0,0.0,40.0,0.3,1.87,0.0,0.0,0.3,0.1
2023-01-15,﹁べ,程,12.6,1.91,0.16,0.0,0.0,4.4,4.8,10.1,5.0,1.0,0.0,52.0,0.5,1.9,0.0,0.0,0.0,0.0
2023-01-22,﹁べ,程,9.3,1.94,0.15,0.0,0.0,1.4,2.3,2.4,13.0,0.0,0.0,40.0,0.3,1.92,0.0,0.0,0.0,0.0
2023-01-29,﹁べ,程,10.0,1.93,0.17,0.0,0.1,3.0,3.5,0.8,18.0,8.0,0.0,25.0,0.4,1.94,0.0,0.0,0.0,0.0
2023-02-05,﹁べ,程,15.9,1.91,0.2,0.0,0.0,3.5,4.1,0.8,7.0,4.0,0.0,55.0,0.4,1.92,0.0,0.0,0.3,0.1
2023-02-12,﹁べ,程,11.4,1.89,0.13,0.0,0.0,3.3,3.7,1.0,16.0,5.0,0.0,35.0,0.6,1.92,1.0,0.0,0.2,0.1
2023-02-19,﹁べ,程,13.6,1.97,0.12,0.0,0.0,3.0,3.3,2.2,9.0,4.0,0.0,46.0,0.5,1.96,0.0,0.0,0.3,0.2
2023-02-26,﹁べ,程,11.7,1.96,0.13,0.0,0.0,2.2,2.5,5.6,12.0,6.0,0.0,41.0,0.4,1.97,0.0,0.0,0.3,0.1
2023-03-05,﹁べ,程,12.9,1.96,0.19,0.0,0.1,3.4,4.6,1.1,17.0,11.0,0.0,19.0,0.8,1.97,0.0,1.0,0.3,0.0
2023-03-12,﹁べ,程,14.4,1.93,0.15,0.0,0.0,3.6,3.9,1.4,17.0,8.0,0.0,41.0,0.5,1.93,0.0,0.0,0.3,0.0
2023-03-19,﹁べ,程,17.7,1.94,0.13,0.0,0.1,4.4,5.4,1.0,5.0,5.0,0.0,46.0,0.5,1.96,1.0,0.0,0.3,0.1
2023-03-26,﹁べ,程,15.7,2.01,0.17,0.0,0.5,2.9,3.8,5.1,5.0,5.0,0.0,57.0,0.3,2.0,0.0,0.0,0.5,0.1
2023-04-02,﹁べ,程,17.4,2.0,0.19,0.0,0.1,3.3,4.3,1.5,4.0,4.0,0.0,47.0,0.6,2.0,0.0,1.0,0.3,0.1
2023-04-09,﹁べ,程,17.9,2.0,0.17,0.0,0.7,4.4,5.8,1.5,19.0,10.0,0.0,37.0,0.4,1.99,0.0,2.0,0.2,0.1
2023-04-16,﹁べ,程,21.4,1.98,0.17,0.0,0.2,5.4,6.9,1.5,5.0,4.0,0.0,40.0,0.3,2.0,0.0,0.0,0.3,0.0
2023-04-23,﹁べ,程,19.1,2.0,0.18,0.0,0.0,3.5,4.5,3.0,11.0,8.0,0.0,47.0,0.7,2.0,1.0,0.0,0.3,0.2
2023-04-30,﹁べ,程,20.4,1.93,0.12,0.0,0.0,4.9,5.9,2.2,11.0,9.0,0.0,38.0,0.5,1.92,1.0,0.0,0.2,0.0
2023-05-07,﹁べ,程,19.0,1.94,0.11,0.0,0.0,2.9,4.1,8.3,5.0,5.0,0.0,50.0,0.3,1.91,0.0,0.0,0.3,0.1
2023-05-14,﹁べ,程,22.7,1.89,0.12,0.0,0.4,2.4,4.2,1.4,11.0,6.0,0.0,46.0,0.3,1.93,2.0,4.0,0.2,0.0
2023-05-21,﹁べ,程,21.5,1.88,0.09,0.0,0.0,1.8,2.8,3.0,7.0,0.0,0.0,56.0,0.4,1.85,0.0,0.0,0.2,0.1
2023-05-28,﹁べ,程,25.6,1.87,0.08,0.0,0.3,2.8,3.7,4.4,8.0,3.0,0.0,49.0,0.1,1.84,0.0,0.0,0.3,0.1
2023-06-04,﹁べ,程,25.5,1.88,0.09,0.0,0.0,1.1,2.8,1.8,9.0,2.0,0.0,54.0,0.3,1.87,0.0,1.0,0.3,0.2
