ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,穝缠,程,23.3,NaN,1.16,NaN,32.9,34.2,66.7,58.5,84.0,45.0,0.5,99.0,1.6,NaN,265.0,260.0,7.3,6.4
2023-01-08,穝缠,程,29.3,NaN,1.58,NaN,52.5,66.3,92.2,98.9,80.0,48.0,2.0,97.0,6.8,NaN,355.0,357.0,5.7,4.8
2023-01-15,穝缠,程,20.8,NaN,0.63,NaN,10.2,28.8,39.0,49.8,56.0,29.0,5.5,97.0,2.8,NaN,216.0,358.0,6.1,5.6
2023-01-22,穝缠,程,24.6,NaN,0.46,NaN,4.9,23.9,24.7,47.7,79.0,49.0,0.0,95.0,2.4,NaN,353.0,347.0,7.9,7.3
2023-01-29,穝缠,程,23.3,NaN,1.57,NaN,51.0,53.5,85.9,61.3,63.0,34.0,0.0,94.0,2.6,NaN,348.0,318.0,6.8,6.3
2023-02-05,穝缠,程,22.4,NaN,1.28,NaN,87.5,49.0,113.3,45.0,59.0,38.0,4.5,100.0,2.7,NaN,353.0,359.0,5.7,5.5
2023-02-12,穝缠,程,27.9,NaN,1.39,NaN,41.3,49.2,81.7,57.2,61.0,38.0,0.5,99.0,1.9,NaN,358.0,359.0,7.5,6.6
2023-02-19,穝缠,程,21.1,NaN,0.9,NaN,21.3,36.1,55.5,58.9,83.0,63.0,0.0,97.0,1.1,NaN,327.0,278.0,7.6,6.3
2023-02-26,穝缠,程,25.7,NaN,0.57,NaN,10.3,24.3,33.9,65.0,109.0,61.0,0.0,96.0,2.4,NaN,352.0,359.0,6.9,6.0
2023-03-05,穝缠,程,27.5,NaN,1.18,NaN,44.6,55.1,93.5,93.4,108.0,53.0,0.0,88.0,3.7,NaN,359.0,359.0,6.7,5.3
2023-03-12,穝缠,程,26.9,NaN,1.04,NaN,26.5,47.1,71.4,63.3,84.0,35.0,1.0,92.0,2.2,NaN,334.0,353.0,8.8,6.7
2023-03-19,穝缠,程,32.1,NaN,1.19,NaN,59.1,56.0,115.2,85.9,274.0,69.0,8.5,98.0,2.7,NaN,339.0,358.0,8.4,6.5
2023-03-26,穝缠,程,22.9,NaN,0.71,NaN,8.0,34.2,36.1,54.1,73.0,27.0,2.5,100.0,2.0,NaN,354.0,357.0,4.9,4.1
2023-04-02,穝缠,程,28.5,NaN,0.89,NaN,19.5,48.5,59.7,68.1,103.0,43.0,3.5,99.0,1.9,NaN,339.0,356.0,7.3,6.1
2023-04-09,穝缠,程,30.7,NaN,0.79,NaN,26.7,33.9,53.4,75.1,147.0,47.0,4.0,95.0,4.6,NaN,358.0,359.0,7.9,6.4
2023-04-16,穝缠,程,33.0,NaN,1.18,NaN,14.1,46.1,57.8,101.8,91.0,51.0,10.0,100.0,3.8,NaN,353.0,359.0,7.6,7.5
2023-04-23,穝缠,程,31.0,NaN,1.17,NaN,23.3,38.0,53.0,76.0,115.0,39.0,4.5,99.0,2.8,NaN,358.0,349.0,5.6,4.4
2023-04-30,穝缠,程,34.0,NaN,0.72,NaN,15.6,34.8,46.7,78.7,88.0,42.0,0.5,92.0,9.1,NaN,356.0,308.0,7.6,6.3
2023-05-07,穝缠,程,29.0,NaN,0.57,NaN,8.0,25.4,29.8,64.5,59.0,25.0,6.0,99.0,4.2,NaN,357.0,305.0,5.2,5.0
2023-05-14,穝缠,程,34.5,NaN,1.1,NaN,34.0,46.2,68.1,109.7,58.0,32.0,8.5,100.0,4.2,NaN,351.0,340.0,9.4,7.8
2023-05-21,穝缠,程,33.9,NaN,1.13,NaN,32.1,37.1,50.3,81.5,127.0,44.0,34.0,100.0,2.7,NaN,358.0,359.0,8.5,7.3
2023-05-28,穝缠,程,33.9,NaN,0.41,NaN,6.4,19.0,19.8,70.9,167.0,26.0,6.0,98.0,4.8,NaN,341.0,272.0,7.3,6.8
2023-06-04,穝缠,程,33.3,NaN,0.69,NaN,13.9,26.7,30.7,62.4,66.0,25.0,11.0,100.0,5.3,NaN,357.0,359.0,5.0,4.1
2023-06-11,穝缠,程,32.6,NaN,0.86,NaN,19.6,30.1,44.2,77.7,45.0,21.0,10.0,100.0,3.6,NaN,353.0,344.0,5.0,4.3
2023-06-18,穝缠,程,34.5,NaN,0.59,NaN,13.8,21.0,24.6,75.0,44.0,20.0,6.5,98.0,5.2,NaN,345.0,358.0,6.3,5.7
2023-06-25,穝缠,程,34.9,NaN,1.02,NaN,24.3,36.4,44.4,87.7,45.0,22.0,49.5,99.0,7.2,NaN,358.0,356.0,5.4,4.9
2023-07-02,穝缠,程,36.2,NaN,0.73,NaN,8.1,21.8,27.7,65.2,42.0,28.0,2.5,97.0,6.2,NaN,353.0,359.0,7.5,6.8
2023-07-09,穝缠,程,35.3,NaN,0.99,NaN,13.5,36.4,38.8,81.1,49.0,31.0,20.5,91.0,6.4,NaN,358.0,348.0,5.1,4.9
2023-07-16,穝缠,程,34.8,NaN,0.67,NaN,16.2,27.3,35.2,70.3,62.0,21.0,31.5,97.0,4.6,NaN,358.0,356.0,5.2,4.6
2023-07-23,穝缠,程,34.9,NaN,0.66,NaN,16.0,24.6,38.0,49.8,56.0,14.0,3.0,94.0,2.5,NaN,348.0,347.0,7.2,5.6
2023-07-30,穝缠,程,33.3,NaN,0.6,NaN,21.7,17.3,33.3,54.2,41.0,28.0,20.0,100.0,4.1,NaN,355.0,348.0,11.1,9.8
2023-08-06,穝缠,程,36.2,NaN,0.74,NaN,11.4,34.5,36.0,66.7,41.0,21.0,47.5,100.0,4.4,NaN,352.0,358.0,6.7,6.0
2023-08-13,穝缠,程,35.9,NaN,0.73,NaN,15.0,27.1,36.8,86.5,39.0,20.0,42.0,100.0,8.9,NaN,357.0,345.0,6.8,5.6
2023-08-20,穝缠,程,35.3,NaN,0.89,NaN,24.9,31.8,53.7,86.5,39.0,23.0,55.5,100.0,5.9,NaN,345.0,358.0,5.4,5.1
2023-08-27,穝缠,程,35.1,NaN,0.56,NaN,6.7,19.6,21.1,69.6,60.0,21.0,8.5,98.0,8.5,NaN,286.0,335.0,6.9,6.6
2023-09-03,穝缠,程,33.3,NaN,0.58,NaN,13.5,18.9,32.4,59.0,28.0,18.0,14.5,100.0,1.4,NaN,353.0,274.0,8.0,6.8
2023-09-10,穝缠,程,34.3,NaN,0.75,NaN,13.9,37.7,39.5,103.0,66.0,38.0,15.0,98.0,5.2,NaN,350.0,359.0,6.0,4.1
2023-09-17,穝缠,程,34.7,NaN,0.6,NaN,17.1,23.1,34.8,81.7,70.0,36.0,0.0,91.0,4.9,NaN,351.0,355.0,5.5,5.3
2023-09-24,穝缠,程,35.5,NaN,0.39,NaN,8.7,12.6,21.4,42.1,139.0,24.0,2.5,94.0,2.5,NaN,191.0,177.0,7.1,5.9
2023-10-01,穝缠,程,32.3,NaN,0.75,NaN,12.1,33.4,38.3,56.5,52.0,22.0,7.5,99.0,2.9,NaN,349.0,313.0,8.0,6.9
2023-10-08,穝缠,程,28.7,NaN,0.48,NaN,3.5,22.4,24.9,61.7,99.0,26.0,3.5,100.0,1.3,NaN,353.0,257.0,5.8,5.0
2023-10-15,穝缠,程,32.7,NaN,0.82,NaN,21.1,25.3,41.3,82.3,75.0,57.0,1.0,95.0,4.2,NaN,357.0,357.0,6.9,6.8
