ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,,程,15.4,2.03,0.24,0.04,3.2,6.7,10.0,0.6,3.0,0.0,0.0,49.0,0.4,2.09,NaN,NaN,NaN,NaN
2023-01-08,,程,18.1,2.0,0.3,0.07,7.0,13.7,24.1,0.0,2.0,0.0,0.0,46.0,0.4,2.09,NaN,NaN,NaN,NaN
2023-01-15,,程,13.2,2.03,0.4,0.07,3.2,9.1,12.6,0.4,1.0,1.0,0.0,62.0,0.2,2.12,NaN,NaN,NaN,NaN
2023-01-22,,程,9.4,1.98,0.23,0.03,4.3,6.2,10.6,1.8,6.0,1.0,0.0,44.0,0.4,2.01,NaN,NaN,NaN,NaN
2023-01-29,,程,11.7,2.0,0.32,0.05,2.9,13.3,19.6,0.0,8.0,5.0,0.0,39.0,0.2,2.12,NaN,NaN,NaN,NaN
2023-02-05,,程,15.8,2.01,0.34,0.05,4.1,10.6,16.8,0.0,6.0,4.0,0.0,69.0,0.5,2.11,NaN,NaN,NaN,NaN
2023-02-12,,程,12.5,1.97,0.26,0.03,5.4,10.3,15.7,0.0,4.0,4.0,0.0,46.0,0.2,2.04,NaN,NaN,NaN,NaN
2023-02-19,,程,14.0,1.99,0.25,0.04,2.3,9.6,11.9,0.0,5.0,3.0,0.0,52.0,0.3,2.06,NaN,NaN,NaN,NaN
2023-02-26,,程,13.4,1.99,0.32,0.04,6.1,12.6,20.4,1.3,11.0,3.0,0.0,38.0,0.6,2.06,NaN,NaN,NaN,NaN
2023-03-05,,程,14.0,1.98,0.3,0.09,3.7,15.1,18.8,0.0,19.0,7.0,0.0,29.0,0.7,2.1,NaN,NaN,NaN,NaN
2023-03-12,,程,14.7,1.97,0.24,0.03,4.0,7.2,12.0,0.0,10.0,2.0,0.0,41.0,0.0,2.07,NaN,NaN,NaN,NaN
