ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,獸,程,14.6,1.93,0.12,0.0,0.0,1.4,2.0,2.6,1.0,1.0,0.0,53.0,0.1,1.93,53.0,48.0,0.3,0.0
2023-01-08,獸,程,17.6,1.94,0.13,0.0,0.2,1.8,2.7,0.3,1.0,1.0,0.0,44.0,0.0,1.92,0.0,6.0,0.2,0.0
2023-01-15,獸,程,12.5,1.98,0.19,0.0,0.0,2.7,3.5,7.7,0.0,0.0,0.0,69.0,0.2,2.0,48.0,1.0,0.4,0.1
2023-01-22,獸,程,8.7,1.97,0.13,0.0,0.0,2.4,2.4,8.1,0.0,0.0,0.0,44.0,0.1,1.96,11.0,8.0,0.2,0.1
2023-01-29,獸,程,11.2,1.96,0.15,0.0,0.1,2.5,3.3,0.6,2.0,3.0,0.0,37.0,0.3,1.95,4.0,12.0,0.2,0.0
2023-02-05,獸,程,15.8,1.97,0.19,0.0,0.0,2.9,3.1,0.3,3.0,2.0,0.0,71.0,0.1,1.98,8.0,5.0,0.2,0.0
2023-02-12,獸,程,12.4,1.94,0.14,0.0,0.2,1.9,2.7,0.4,2.0,2.0,0.0,42.0,0.2,1.95,6.0,3.0,0.3,0.0
2023-02-19,獸,程,13.1,1.94,0.12,0.0,0.0,2.7,3.4,0.9,1.0,0.0,0.0,54.0,0.1,1.94,6.0,10.0,0.4,0.1
2023-02-26,獸,程,13.2,1.94,0.12,0.0,0.0,1.7,1.9,8.0,4.0,2.0,0.0,37.0,0.1,1.95,44.0,2.0,0.6,0.2
2023-03-05,獸,程,12.9,1.92,0.13,0.0,0.0,2.4,2.4,2.9,15.0,5.0,0.0,22.0,0.2,1.94,6.0,0.0,0.3,0.0
2023-03-12,獸,程,14.0,1.92,0.14,0.0,0.1,2.1,2.5,3.4,8.0,7.0,0.0,37.0,0.1,1.94,13.0,6.0,0.3,0.1
2023-03-19,獸,程,17.7,1.94,0.17,0.0,0.0,3.1,3.2,0.3,2.0,2.0,0.0,36.0,0.0,1.99,13.0,2.0,0.2,0.0
2023-03-26,獸,程,15.8,1.99,0.17,0.0,0.3,2.1,2.8,7.3,1.0,3.0,0.0,71.0,0.1,1.99,11.0,4.0,0.2,0.1
2023-04-02,獸,程,17.1,1.95,0.17,0.0,0.0,2.2,2.0,1.2,1.0,0.0,0.0,46.0,0.1,1.96,13.0,5.0,0.2,0.1
2023-04-09,獸,程,17.2,1.97,0.16,0.0,0.0,2.3,3.1,3.7,12.0,7.0,0.0,42.0,0.1,1.96,4.0,0.0,0.4,0.1
2023-04-16,獸,程,18.8,1.97,0.15,0.0,0.1,1.4,1.9,5.7,5.0,5.0,0.0,31.0,0.0,1.99,4.0,1.0,0.3,0.0
2023-04-23,獸,程,18.2,2.0,0.16,0.0,0.0,2.3,2.7,0.8,3.0,3.0,0.0,45.0,0.0,1.99,16.0,2.0,0.2,0.1
2023-04-30,獸,程,20.0,1.94,0.14,0.0,0.0,2.2,2.3,2.2,1.0,0.0,0.0,43.0,0.0,1.94,0.0,9.0,0.3,0.0
2023-05-07,獸,程,19.1,1.95,0.11,0.0,0.0,2.7,3.1,7.8,4.0,1.0,0.0,43.0,0.0,1.98,8.0,4.0,0.2,0.1
2023-05-14,獸,程,21.7,1.92,0.11,0.0,0.0,1.8,2.3,10.0,0.0,0.0,0.0,33.0,0.0,1.95,26.0,3.0,0.4,0.1
2023-05-21,獸,程,20.9,1.9,0.12,0.0,0.1,1.3,2.1,2.4,3.0,1.0,0.0,45.0,0.4,1.94,5.0,7.0,0.2,0.1
2023-05-28,獸,程,25.0,1.86,0.07,0.0,0.1,0.0,1.3,1.3,1.0,0.0,0.0,49.0,0.0,1.86,7.0,2.0,0.5,0.1
2023-06-04,獸,程,24.5,1.91,0.13,0.0,0.1,3.0,3.6,4.0,4.0,0.0,0.0,52.0,0.0,1.93,1.0,24.0,0.3,0.1
2023-06-11,獸,程,24.0,1.91,0.11,0.0,0.1,2.9,3.3,0.0,3.0,0.0,0.0,51.0,0.0,1.93,24.0,28.0,0.2,0.1
2023-06-18,獸,程,25.8,1.89,0.11,0.0,0.2,2.5,3.6,0.0,5.0,4.0,0.0,46.0,0.0,1.86,3.0,4.0,0.3,0.2
2023-06-25,獸,程,26.3,1.87,0.1,0.0,0.3,2.6,3.3,1.8,1.0,1.0,0.0,45.0,0.0,1.87,1.0,1.0,0.4,0.1
2023-07-02,獸,程,27.0,1.89,0.11,0.0,0.3,3.0,3.9,5.0,5.0,0.0,0.0,36.0,0.0,1.88,20.0,0.0,0.5,0.1
2023-07-09,獸,程,26.0,1.86,0.05,0.0,0.0,2.7,3.3,2.5,0.0,0.0,0.0,45.0,0.0,1.84,2.0,8.0,0.5,0.0
2023-07-16,獸,程,26.8,1.87,0.06,0.0,0.2,2.3,3.0,2.1,1.0,0.0,0.0,46.0,0.0,1.84,1.0,0.0,0.3,0.1
2023-07-23,獸,程,27.3,1.85,0.06,0.0,0.0,1.5,1.9,0.6,2.0,0.0,0.0,47.0,0.0,1.82,17.0,4.0,0.2,0.0
2023-07-30,獸,程,26.3,1.88,0.08,0.0,0.2,1.5,2.4,0.2,0.0,0.0,0.0,30.0,0.0,1.9,12.0,31.0,0.4,0.0
2023-08-06,獸,程,21.5,1.94,0.11,0.0,0.2,2.9,3.5,3.8,4.0,0.0,0.0,36.0,0.0,1.96,14.0,8.0,0.4,0.2
2023-08-13,獸,程,25.2,1.91,0.12,0.0,0.3,3.2,3.9,0.9,3.0,1.0,0.0,41.0,0.0,1.94,9.0,2.0,0.3,0.1
2023-08-20,獸,程,25.5,1.86,0.08,0.0,0.0,2.1,2.5,1.6,2.0,1.0,0.0,47.0,0.0,1.84,5.0,11.0,0.2,0.1
2023-08-27,獸,程,26.3,1.85,0.05,0.0,0.0,1.6,2.0,1.6,0.0,0.0,0.0,49.0,0.0,1.83,36.0,15.0,0.4,0.3
2023-09-03,獸,程,24.0,1.91,0.08,0.0,0.1,0.6,1.5,2.4,1.0,0.0,0.0,47.0,0.0,1.88,43.0,38.0,0.4,0.3
2023-09-10,獸,程,23.5,1.93,0.12,0.0,0.2,3.4,4.2,4.0,7.0,0.0,0.0,42.0,0.0,1.96,0.0,19.0,0.7,0.0
2023-09-17,獸,程,26.5,1.88,0.06,0.0,0.2,2.2,2.6,3.5,2.0,0.0,0.0,45.0,0.0,1.86,10.0,4.0,0.6,0.1
2023-09-24,獸,程,26.6,1.88,0.06,0.0,0.3,2.8,3.7,6.7,3.0,1.0,0.0,36.0,0.0,1.86,41.0,35.0,0.6,0.6
2023-10-01,獸,程,24.3,1.98,0.13,0.0,0.0,1.7,2.3,0.4,0.0,2.0,0.0,62.0,0.4,1.95,46.0,18.0,0.4,0.1
2023-10-08,獸,程,23.0,1.99,0.15,0.0,0.1,2.4,2.7,32.1,0.0,1.0,0.0,55.0,0.3,1.96,47.0,43.0,0.6,0.3
2023-10-15,獸,程,21.5,1.99,0.19,0.0,0.0,2.4,3.1,12.6,6.0,5.0,0.0,38.0,0.3,1.99,35.0,36.0,0.5,0.4
2023-10-22,獸,程,20.8,1.96,0.14,0.0,0.0,1.7,2.3,13.0,7.0,3.0,0.0,50.0,0.2,1.94,23.0,28.0,0.5,0.1
2023-10-29,獸,程,22.5,1.95,0.12,0.0,0.0,2.0,2.1,10.0,6.0,4.0,0.0,39.0,0.4,1.94,2.0,9.0,0.4,0.0
2023-11-05,獸,程,21.6,1.98,0.15,0.0,0.0,2.5,3.1,5.6,2.0,3.0,0.0,39.0,0.3,1.97,13.0,31.0,0.4,0.2
2023-11-12,獸,程,12.8,1.97,0.14,0.0,0.0,1.2,1.8,2.6,2.0,2.0,0.0,38.0,0.2,1.97,25.0,13.0,0.3,0.1
2023-11-19,獸,程,14.1,1.96,0.11,0.0,0.0,2.5,3.0,5.4,11.0,5.0,0.0,47.0,0.3,1.96,43.0,36.0,0.2,0.0
2023-11-26,獸,程,15.5,1.99,0.11,0.0,0.0,2.1,2.5,1.2,5.0,1.0,0.0,39.0,0.3,1.99,26.0,25.0,0.4,0.2
2023-12-03,獸,程,15.3,1.99,0.12,0.0,0.2,1.7,3.0,0.7,2.0,0.0,0.0,44.0,0.1,1.98,3.0,1.0,0.2,0.0
2023-12-10,獸,程,12.6,2.0,0.11,0.0,0.1,3.2,3.8,0.3,0.0,0.0,0.0,49.0,0.3,2.02,4.0,2.0,0.2,0.1
2023-12-17,獸,程,9.6,2.0,0.15,0.0,0.0,2.5,3.2,0.5,0.0,0.0,0.0,61.0,0.2,2.02,44.0,7.0,0.2,0.1
2023-12-24,獸,程,13.7,2.0,0.15,0.0,0.0,2.5,3.3,0.3,2.0,1.0,0.0,45.0,0.1,2.01,15.0,19.0,0.2,0.0
