ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,,程,15.1,1.95,0.15,0.03,0.2,2.3,3.0,1.4,2.0,0.0,0.0,55.0,0.4,2.0,0.0,2.0,0.4,0.0
2023-01-08,,程,17.8,1.93,0.16,0.03,0.2,4.3,4.9,0.5,1.0,0.0,0.0,51.0,0.0,1.96,0.0,0.0,0.3,0.2
2023-01-15,,程,12.4,1.99,0.23,0.04,0.1,2.5,4.0,4.4,1.0,0.0,0.0,78.0,0.2,2.04,8.0,0.0,0.6,0.1
2023-01-22,,程,8.6,1.97,0.15,0.02,0.2,2.2,2.6,3.9,3.0,0.0,0.0,46.0,0.2,2.0,6.0,32.0,0.3,0.0
2023-01-29,,程,9.1,1.96,0.16,0.03,0.0,3.0,3.5,0.7,2.0,1.0,0.0,34.0,0.5,2.02,0.0,4.0,0.2,0.0
2023-02-05,,程,15.6,1.98,0.22,0.05,0.4,3.5,3.9,0.8,3.0,0.0,0.0,74.0,0.0,2.06,69.0,6.0,0.2,0.0
2023-02-12,,程,12.1,1.96,0.15,0.03,0.1,3.2,3.5,0.8,0.0,1.0,0.0,40.0,0.3,2.02,7.0,11.0,0.3,0.0
2023-02-19,,程,13.4,1.97,0.14,0.03,0.1,3.3,4.3,0.8,2.0,0.0,0.0,56.0,0.4,2.01,101.0,82.0,0.3,0.0
2023-02-26,,程,12.6,1.96,0.14,0.03,0.1,2.3,3.5,4.7,6.0,1.0,0.0,38.0,0.3,1.99,37.0,19.0,0.3,0.0
2023-03-05,,程,13.2,1.92,0.16,0.03,0.1,3.5,4.2,1.7,10.0,0.0,0.0,24.0,0.5,1.97,2.0,15.0,0.2,0.0
2023-03-12,,程,13.9,1.95,0.16,0.03,0.1,2.5,2.9,1.3,4.0,1.0,0.0,40.0,0.3,2.01,109.0,94.0,0.3,0.0
2023-03-19,,程,17.4,1.94,0.19,0.03,0.3,3.3,3.7,0.7,2.0,0.0,0.0,38.0,0.6,2.02,14.0,16.0,0.3,0.0
2023-03-26,,程,16.0,1.99,0.19,0.03,0.1,4.1,4.4,4.6,2.0,0.0,0.0,70.0,0.3,2.03,22.0,1.0,0.3,0.0
2023-04-02,,程,16.8,1.97,0.2,0.04,0.0,3.6,3.9,1.0,0.0,1.0,0.0,49.0,0.4,2.03,9.0,1.0,0.3,0.0
2023-04-09,,程,17.3,1.95,0.17,0.03,0.3,3.6,4.2,0.7,15.0,5.0,0.0,45.0,0.3,2.01,3.0,1.0,0.3,0.1
2023-04-16,,程,17.6,1.95,0.16,0.03,0.1,3.9,4.4,2.9,5.0,1.0,0.0,40.0,0.0,1.99,7.0,7.0,0.3,0.0
2023-04-23,,程,18.4,2.0,0.18,0.03,0.0,3.0,3.5,0.7,5.0,2.0,0.0,48.0,0.1,2.04,10.0,9.0,0.3,0.0
2023-04-30,,程,19.7,1.93,0.17,0.03,0.3,3.3,3.9,1.3,2.0,0.0,0.0,42.0,0.4,2.0,1.0,48.0,0.3,0.0
2023-05-07,,程,19.1,1.95,0.16,0.03,0.0,3.4,3.5,4.5,3.0,0.0,0.0,46.0,0.2,2.02,103.0,10.0,0.3,0.0
2023-05-14,,程,21.0,1.85,0.17,0.04,0.0,3.0,3.5,1.0,6.0,0.0,0.0,39.0,0.0,2.02,3.0,3.0,0.3,0.0
2023-05-21,,程,21.0,1.65,0.15,0.03,0.2,2.5,3.1,0.0,6.0,0.0,0.0,49.0,0.2,2.02,19.0,0.0,0.2,0.0
2023-05-28,,程,23.4,1.92,0.09,0.03,0.4,1.7,2.4,0.7,0.0,0.0,0.0,46.0,0.0,1.96,2.0,16.0,0.2,0.0
2023-06-04,,程,24.4,1.93,0.17,0.02,0.1,3.9,4.4,0.0,5.0,0.0,0.0,56.0,0.4,2.02,0.0,49.0,0.2,0.0
2023-06-11,,程,23.7,1.93,0.15,0.03,0.1,2.4,3.1,0.0,3.0,0.0,0.0,50.0,0.2,1.99,11.0,13.0,0.2,0.0
2023-06-18,,程,24.8,1.9,0.14,0.04,0.0,3.8,4.7,0.0,7.0,0.0,0.0,53.0,0.1,1.96,82.0,2.0,0.3,0.0
2023-06-25,,程,25.3,1.9,0.16,0.05,0.2,4.7,5.7,0.0,8.0,1.0,0.0,52.0,0.0,1.96,104.0,3.0,0.3,0.0
2023-07-02,,程,25.9,1.9,0.11,0.05,0.5,5.0,6.0,0.0,8.0,0.0,0.0,44.0,0.1,1.96,88.0,52.0,0.3,0.1
2023-07-09,,程,25.8,1.89,0.12,0.02,0.4,3.3,4.1,0.3,3.0,0.0,0.0,52.0,0.0,1.92,25.0,36.0,0.3,0.0
2023-07-16,,程,26.0,1.89,0.1,0.02,0.5,2.6,3.7,0.1,2.0,0.0,0.0,53.0,0.0,1.91,18.0,7.0,0.3,0.0
2023-07-23,,程,25.7,1.87,0.07,0.0,0.2,1.7,2.2,0.0,3.0,0.0,0.0,51.0,0.0,1.88,6.0,14.0,0.2,0.0
2023-07-30,,程,25.6,1.89,0.09,0.01,0.3,2.3,2.8,0.1,0.0,0.0,0.0,62.0,0.4,1.94,104.0,42.0,0.3,0.1
2023-08-06,,程,25.4,1.94,0.12,0.02,0.1,3.3,4.0,2.3,3.0,3.0,0.0,48.0,0.0,1.98,45.0,0.0,0.2,0.0
2023-08-13,,程,24.7,1.91,0.12,0.03,0.3,3.0,3.9,0.0,7.0,1.0,0.0,48.0,0.2,1.97,0.0,8.0,0.3,0.0
2023-08-20,,程,25.4,1.88,0.14,0.05,0.4,3.9,5.4,0.2,6.0,0.0,0.0,53.0,0.0,1.93,44.0,29.0,0.3,0.0
2023-08-27,,程,26.4,1.87,0.08,0.02,0.3,1.8,2.4,0.9,0.0,0.0,0.0,52.0,0.0,1.9,1.0,3.0,0.3,0.0
2023-09-03,,程,22.9,1.93,0.08,0.01,0.0,1.0,1.5,1.1,2.0,0.0,0.0,50.0,0.0,1.95,0.0,4.0,0.3,0.0
2023-09-10,,程,21.9,1.96,0.15,0.04,0.0,4.2,4.8,1.6,9.0,3.0,0.0,50.0,0.3,2.01,56.0,0.0,0.3,0.0
2023-09-17,,程,25.1,1.86,0.09,0.03,0.1,2.4,3.8,1.1,3.0,0.0,0.0,51.0,0.3,1.91,47.0,5.0,0.3,0.0
2023-09-24,,程,27.2,1.91,0.07,0.02,0.2,1.9,2.5,6.3,1.0,0.0,0.0,45.0,0.1,1.94,6.0,5.0,0.5,0.0
2023-10-01,,程,25.3,1.99,0.14,0.02,0.1,1.6,2.0,1.4,1.0,2.0,0.0,60.0,0.2,2.02,39.0,106.0,0.3,0.1
2023-10-08,,程,22.7,1.98,0.15,0.01,0.1,1.9,2.6,28.3,1.0,1.0,0.0,59.0,0.2,2.02,3.0,70.0,0.3,0.0
2023-10-15,,程,21.7,2.0,0.17,0.02,0.0,1.8,2.4,3.5,7.0,7.0,0.0,45.0,0.4,2.02,11.0,1.0,0.3,0.0
2023-10-22,,程,21.0,1.98,0.15,0.02,0.0,1.9,2.4,4.0,5.0,5.0,0.0,54.0,0.0,2.03,5.0,2.0,0.3,0.0
2023-10-29,,程,21.3,1.97,0.13,0.03,0.0,2.2,2.6,2.3,3.0,5.0,0.0,44.0,0.3,2.03,5.0,0.0,0.3,0.0
2023-11-05,,程,22.0,1.96,0.16,0.03,0.4,1.7,2.4,2.4,1.0,2.0,0.0,47.0,0.0,2.04,10.0,29.0,0.3,0.0
2023-11-12,,程,12.9,1.98,0.15,0.03,0.0,1.7,2.4,2.3,2.0,2.0,0.0,42.0,0.1,2.01,0.0,0.0,0.3,0.0
2023-11-19,,程,15.4,1.98,0.16,0.03,0.2,2.3,3.0,2.2,8.0,7.0,0.0,44.0,0.2,2.04,9.0,6.0,0.3,0.0
2023-11-26,,程,16.2,1.97,0.15,0.02,0.3,2.0,2.7,2.2,3.0,2.0,0.0,44.0,0.0,2.01,2.0,0.0,0.3,0.0
2023-12-03,,程,16.3,2.01,0.18,0.05,0.1,2.4,2.9,2.2,0.0,0.0,0.0,44.0,0.0,2.07,0.0,0.0,0.3,0.0
2023-12-10,,程,13.2,2.03,0.28,0.05,0.2,2.5,3.1,1.6,4.0,2.0,0.0,50.0,0.0,2.11,2.0,0.0,0.3,0.0
2023-12-17,,程,9.6,2.01,0.17,0.03,0.1,2.3,2.5,2.2,0.0,0.0,0.0,66.0,0.7,2.04,81.0,13.0,0.3,0.0
2023-12-24,,程,13.8,1.99,0.17,0.03,0.2,2.9,3.3,1.1,3.0,2.0,0.0,47.0,0.4,2.02,1.0,0.0,0.3,0.0
