ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,穝缠,程,15.4,NaN,0.1,NaN,0.1,2.7,2.9,1.1,2.0,0.0,0.0,52.0,0.1,NaN,3.0,7.0,0.2,0.1
2023-01-08,穝缠,程,17.8,NaN,0.13,NaN,0.1,3.5,4.2,0.0,3.0,0.0,0.0,48.0,0.2,NaN,0.0,4.0,0.2,0.0
2023-01-15,穝缠,程,12.0,NaN,0.22,NaN,0.0,2.9,3.1,11.6,0.0,0.0,0.0,69.0,0.2,NaN,4.0,0.0,0.3,0.5
2023-01-22,穝缠,程,8.9,NaN,0.12,NaN,0.1,1.5,2.2,5.1,6.0,2.0,0.0,46.0,0.3,NaN,6.0,3.0,0.2,0.0
2023-01-29,穝缠,程,10.5,NaN,0.15,NaN,0.3,3.7,4.5,0.2,5.0,3.0,0.0,33.0,0.1,NaN,2.0,2.0,0.2,0.0
2023-02-05,穝缠,程,15.6,NaN,0.16,NaN,0.1,4.0,5.2,0.0,4.0,0.0,0.0,75.0,0.2,NaN,2.0,2.0,0.2,0.0
2023-02-12,穝缠,程,11.8,NaN,0.1,NaN,0.0,3.0,3.5,0.1,6.0,3.0,0.0,44.0,0.1,NaN,0.0,0.0,0.2,0.0
2023-02-19,穝缠,程,13.3,NaN,0.11,NaN,0.0,2.6,3.3,0.4,6.0,0.0,0.0,59.0,0.0,NaN,0.0,4.0,0.2,0.0
2023-02-26,穝缠,程,12.6,NaN,0.11,NaN,0.1,2.1,3.1,12.9,13.0,0.0,0.0,38.0,0.1,NaN,7.0,3.0,0.2,0.0
2023-03-05,穝缠,程,12.7,NaN,0.16,NaN,0.0,3.5,4.3,1.8,21.0,6.0,0.0,29.0,0.4,NaN,2.0,6.0,0.2,0.0
2023-03-12,穝缠,程,13.6,NaN,0.13,NaN,0.2,3.3,3.7,0.6,10.0,6.0,0.0,34.0,0.1,NaN,1.0,0.0,0.2,0.0
2023-03-19,穝缠,程,16.7,NaN,0.12,NaN,0.0,2.8,3.5,0.1,8.0,4.0,0.0,41.0,0.2,NaN,0.0,2.0,0.2,0.0
2023-03-26,穝缠,程,15.6,NaN,0.14,NaN,0.3,2.7,3.7,2.6,7.0,1.0,0.0,73.0,0.2,NaN,4.0,2.0,0.2,0.0
2023-04-02,穝缠,程,15.9,NaN,0.17,NaN,0.5,3.6,4.6,0.1,7.0,1.0,0.0,48.0,0.0,NaN,8.0,6.0,0.2,0.0
2023-04-09,穝缠,程,16.9,NaN,0.16,NaN,0.0,3.7,4.5,0.8,21.0,7.0,0.0,46.0,0.0,NaN,2.0,4.0,0.2,0.0
2023-04-16,穝缠,程,18.3,NaN,0.15,NaN,0.3,3.2,3.9,0.8,10.0,2.0,0.0,39.0,0.1,NaN,4.0,1.0,0.2,0.0
2023-04-23,穝缠,程,17.9,NaN,0.17,NaN,0.0,3.7,3.6,0.1,3.0,1.0,0.0,51.0,0.3,NaN,4.0,3.0,0.2,0.0
2023-04-30,穝缠,程,19.6,NaN,0.14,NaN,0.2,3.6,4.1,0.0,4.0,0.0,0.0,47.0,0.1,NaN,0.0,5.0,0.2,0.0
2023-05-07,穝缠,程,18.7,NaN,0.14,NaN,0.0,2.9,3.8,4.2,3.0,2.0,0.0,45.0,0.1,NaN,0.0,6.0,0.2,0.0
2023-05-14,穝缠,程,21.3,NaN,0.14,NaN,0.0,3.0,3.1,0.0,5.0,0.0,0.0,33.0,0.0,NaN,0.0,1.0,0.2,0.0
2023-05-21,穝缠,程,20.5,NaN,0.11,NaN,0.2,2.5,2.7,0.0,0.0,3.0,0.0,48.0,0.0,NaN,4.0,0.0,0.2,0.0
2023-05-28,穝缠,程,24.2,NaN,0.06,NaN,0.0,1.6,2.2,3.7,4.0,0.0,0.0,54.0,0.1,NaN,7.0,7.0,0.2,0.0
2023-06-04,穝缠,程,24.3,NaN,0.11,NaN,0.3,4.1,4.8,0.1,4.0,3.0,0.0,54.0,0.1,NaN,0.0,1.0,0.2,0.0
2023-06-11,穝缠,程,23.3,NaN,0.12,NaN,0.0,3.1,3.9,0.0,7.0,2.0,0.0,53.0,0.0,NaN,0.0,3.0,0.2,0.0
2023-06-18,穝缠,程,25.2,NaN,0.1,NaN,0.0,2.8,3.6,0.0,0.0,1.0,0.0,51.0,0.1,NaN,0.0,7.0,0.2,0.0
2023-06-25,穝缠,程,25.8,NaN,0.09,NaN,0.1,2.4,3.1,0.0,7.0,3.0,0.0,45.0,0.0,NaN,4.0,2.0,0.2,0.0
2023-07-02,穝缠,程,26.3,NaN,0.08,NaN,0.2,3.2,4.0,0.0,10.0,3.0,0.0,45.0,0.3,NaN,0.0,0.0,0.2,0.1
2023-07-09,穝缠,程,26.8,NaN,0.09,NaN,0.1,2.7,3.5,0.3,8.0,0.0,0.0,52.0,0.0,NaN,1.0,7.0,0.2,0.2
2023-07-16,穝缠,程,26.4,NaN,0.09,NaN,0.3,2.2,3.5,0.0,6.0,2.0,0.0,52.0,0.1,NaN,4.0,7.0,0.3,0.0
2023-07-23,穝缠,程,26.3,NaN,0.06,NaN,0.2,1.1,1.8,0.0,4.0,0.0,0.0,48.0,0.1,NaN,4.0,2.0,0.2,0.0
2023-07-30,穝缠,程,25.9,NaN,0.08,NaN,0.0,1.7,1.9,0.0,0.0,2.0,0.0,64.0,0.1,NaN,6.0,8.0,0.3,0.1
2023-08-06,穝缠,程,25.3,NaN,0.11,NaN,0.0,3.0,3.4,0.0,7.0,5.0,0.0,47.0,0.0,NaN,4.0,2.0,0.2,0.0
2023-08-13,穝缠,程,24.2,NaN,0.11,NaN,0.0,2.4,3.1,0.0,0.0,0.0,0.0,48.0,0.0,NaN,0.0,2.0,0.2,0.1
2023-08-20,穝缠,程,25.3,NaN,0.11,NaN,0.2,2.9,4.2,0.0,4.0,0.0,0.0,50.0,0.0,NaN,3.0,2.0,0.2,0.1
2023-08-27,穝缠,程,26.8,NaN,0.05,NaN,0.0,2.1,2.8,0.9,0.0,1.0,0.0,49.0,0.0,NaN,16.0,0.0,0.2,0.1
2023-09-03,穝缠,程,24.1,NaN,0.07,NaN,0.1,1.4,1.9,0.1,4.0,0.0,0.0,40.0,0.0,NaN,40.0,19.0,0.2,0.2
2023-09-10,穝缠,程,23.2,NaN,0.15,NaN,0.2,3.1,4.0,1.3,8.0,6.0,0.0,44.0,0.1,NaN,0.0,0.0,0.2,0.2
2023-09-17,穝缠,程,25.4,NaN,0.07,NaN,0.1,2.3,3.0,0.0,0.0,0.0,0.0,48.0,0.1,NaN,1.0,6.0,0.2,0.1
2023-09-24,穝缠,程,26.2,NaN,0.06,NaN,0.2,2.7,3.1,6.8,2.0,1.0,0.0,39.0,0.0,NaN,31.0,20.0,0.4,0.6
2023-10-01,穝缠,程,23.7,NaN,0.12,NaN,0.1,1.6,2.3,1.2,3.0,2.0,0.0,61.0,0.0,NaN,5.0,5.0,0.2,0.0
2023-10-08,穝缠,程,23.1,NaN,0.14,NaN,0.0,2.2,2.4,24.3,2.0,4.0,0.0,55.0,0.0,NaN,4.0,3.0,0.2,0.0
2023-10-15,穝缠,程,21.5,NaN,0.19,NaN,0.2,3.1,3.7,5.6,2.0,5.0,0.0,41.0,0.1,NaN,7.0,5.0,0.3,0.0
2023-10-22,穝缠,程,20.4,NaN,0.13,NaN,0.0,2.2,2.4,9.0,1.0,4.0,0.0,52.0,0.0,NaN,2.0,8.0,0.6,0.1
2023-10-29,穝缠,程,21.6,NaN,0.13,NaN,0.0,2.3,2.9,0.9,0.0,0.0,0.0,45.0,0.0,NaN,4.0,0.0,0.2,0.0
2023-11-05,穝缠,程,22.0,NaN,0.16,NaN,0.1,2.9,3.7,2.5,0.0,1.0,0.0,48.0,0.0,NaN,4.0,1.0,0.2,0.1
2023-11-12,穝缠,程,12.3,NaN,0.14,NaN,0.0,2.8,2.5,1.0,0.0,1.0,0.0,40.0,0.1,NaN,6.0,1.0,0.3,0.1
2023-11-19,穝缠,程,13.8,NaN,0.13,NaN,0.0,3.5,4.3,0.9,11.0,1.0,0.0,40.0,0.1,NaN,18.0,4.0,0.2,0.1
2023-11-26,穝缠,程,15.6,NaN,0.14,NaN,0.0,3.1,3.6,1.1,0.0,2.0,0.0,41.0,0.3,NaN,1.0,3.0,0.3,0.2
2023-12-03,穝缠,程,15.3,NaN,0.16,NaN,0.2,2.5,3.4,0.2,3.0,0.0,0.0,45.0,0.3,NaN,4.0,6.0,0.2,0.0
2023-12-10,穝缠,程,13.4,NaN,0.18,NaN,0.1,3.3,3.7,0.0,0.0,2.0,0.0,52.0,0.2,NaN,7.0,1.0,0.2,0.0
2023-12-17,穝缠,程,9.3,NaN,0.16,NaN,0.1,2.1,2.9,0.3,0.0,0.0,0.0,60.0,0.3,NaN,11.0,4.0,0.3,0.3
2023-12-24,穝缠,程,13.3,NaN,0.15,NaN,0.0,1.7,2.4,0.2,0.0,1.0,0.0,49.0,0.0,NaN,1.0,0.0,0.2,0.0
