ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,穝λ,程,15.3,1.88,0.16,0.02,0.1,3.9,4.3,19.6,3.0,0.0,0.0,43.0,0.0,1.93,26.0,15.0,1.1,0.9
2023-01-08,穝λ,程,16.2,1.87,0.16,0.03,0.0,4.6,5.1,0.1,8.0,2.0,0.0,45.0,0.1,1.94,7.0,10.0,0.2,0.2
2023-01-15,穝λ,程,11.2,1.92,0.24,0.03,0.1,4.6,5.2,20.9,5.0,0.0,0.0,60.0,0.0,1.96,28.0,21.0,0.8,0.6
2023-01-22,穝λ,程,8.6,1.9,0.16,0.01,0.3,2.1,2.9,4.9,5.0,0.0,0.0,42.0,0.0,1.91,8.0,7.0,0.4,0.3
2023-01-29,穝λ,程,10.0,1.9,0.19,0.03,0.2,4.2,5.0,1.6,1.0,2.0,0.0,33.0,0.0,1.95,9.0,20.0,0.2,0.3
2023-02-05,穝λ,程,14.6,1.91,0.23,0.01,0.3,4.1,4.6,0.1,4.0,0.0,0.0,81.0,0.0,1.92,0.0,3.0,0.3,0.1
2023-02-12,穝λ,程,11.5,1.88,0.16,0.03,0.1,3.9,4.0,0.0,9.0,4.0,0.0,41.0,0.0,1.93,10.0,1.0,0.3,0.2
2023-02-19,穝λ,程,13.1,1.89,0.14,0.01,0.0,4.2,4.6,5.6,5.0,0.0,0.0,50.0,0.0,1.91,10.0,22.0,0.4,0.4
2023-02-26,穝λ,程,12.3,1.88,0.16,0.01,0.0,2.9,3.5,5.4,15.0,3.0,0.0,32.0,0.0,1.91,18.0,19.0,0.2,0.3
2023-03-05,穝λ,程,14.1,1.88,0.15,0.02,0.1,3.0,3.1,1.4,18.0,6.0,0.0,20.0,0.3,1.92,11.0,8.0,0.2,0.2
2023-03-12,穝λ,程,14.0,1.89,0.18,0.02,0.1,4.5,5.0,1.6,10.0,5.0,0.0,43.0,0.0,1.92,3.0,24.0,0.3,0.1
2023-03-19,穝λ,程,17.8,1.87,0.16,0.02,0.0,3.5,4.2,2.3,2.0,0.0,0.0,58.0,0.0,1.89,3.0,11.0,0.3,0.1
2023-03-26,穝λ,程,15.5,1.94,0.2,0.02,0.2,3.5,4.6,4.2,4.0,1.0,0.0,66.0,0.0,1.97,2.0,8.0,0.3,0.1
2023-04-02,穝λ,程,16.6,1.95,0.2,0.02,0.2,5.2,6.2,1.8,3.0,3.0,0.0,42.0,0.0,1.98,13.0,0.0,0.3,0.1
2023-04-09,穝λ,程,17.7,1.93,0.18,0.02,0.2,4.2,5.0,0.5,15.0,7.0,0.0,45.0,0.0,1.96,16.0,8.0,0.3,0.1
2023-04-16,穝λ,程,19.3,1.91,0.19,0.02,0.0,4.0,4.7,6.3,6.0,0.0,0.0,43.0,0.0,1.97,31.0,4.0,0.3,0.1
2023-04-23,穝λ,程,18.3,1.98,0.19,0.03,0.5,4.2,5.4,0.4,7.0,4.0,0.0,45.0,0.0,2.02,23.0,6.0,0.3,0.1
2023-04-30,穝λ,程,20.2,1.9,0.17,0.03,0.1,4.1,5.0,2.8,12.0,0.0,0.0,37.0,0.0,1.93,0.0,18.0,0.3,0.1
2023-05-07,穝λ,程,18.9,1.9,0.11,0.0,0.2,2.3,3.0,3.2,4.0,0.0,0.0,46.0,0.0,1.91,9.0,6.0,0.3,0.1
2023-05-14,穝λ,程,22.7,1.88,0.17,0.01,0.0,2.4,2.9,3.2,1.0,3.0,0.0,43.0,0.0,1.93,7.0,1.0,0.3,0.1
2023-05-21,穝λ,程,20.7,1.87,0.11,0.01,0.2,3.6,4.2,3.2,2.0,0.0,0.0,51.0,0.0,1.9,23.0,1.0,0.3,0.1
2023-05-28,穝λ,程,24.8,1.86,0.1,0.0,0.0,4.0,5.0,1.0,7.0,0.0,0.0,37.0,0.0,1.88,1.0,18.0,0.3,0.1
2023-06-04,穝λ,程,27.0,1.85,0.13,0.02,0.3,3.2,4.0,0.8,8.0,0.0,0.0,58.0,0.0,1.87,20.0,6.0,0.3,0.1
2023-06-11,穝λ,程,24.6,1.91,0.15,0.02,0.2,4.6,5.4,0.4,6.0,0.0,0.0,60.0,0.0,1.94,19.0,7.0,0.3,0.1
2023-06-18,穝λ,程,27.3,1.84,0.1,0.0,0.3,3.2,4.3,0.0,5.0,0.0,0.0,58.0,0.0,1.86,46.0,1.0,0.3,0.2
2023-06-25,穝λ,程,26.1,1.85,0.09,0.0,0.2,2.7,4.1,0.3,7.0,0.0,0.0,51.0,0.0,1.87,1.0,4.0,0.3,0.2
2023-07-02,穝λ,程,28.2,1.84,0.09,0.0,0.2,3.0,3.5,1.3,4.0,0.0,0.0,51.0,0.0,1.86,52.0,30.0,0.3,0.2
2023-07-09,穝λ,程,27.6,1.85,0.12,0.01,0.0,3.3,3.9,0.6,6.0,0.0,0.0,46.0,0.3,1.87,36.0,3.0,0.3,0.2
2023-07-16,穝λ,程,26.7,1.86,0.12,0.01,0.3,3.6,4.6,0.7,5.0,0.0,0.0,51.0,0.0,1.87,6.0,9.0,0.3,0.2
2023-07-23,穝λ,程,26.4,1.84,0.08,0.0,0.1,2.9,3.2,0.0,1.0,0.0,0.0,52.0,0.0,1.86,2.0,23.0,0.3,0.1
2023-07-30,穝λ,程,25.6,1.86,0.11,0.0,0.1,2.4,2.5,0.5,3.0,0.0,0.0,66.0,0.0,1.89,23.0,26.0,0.3,0.2
2023-08-06,穝λ,程,26.2,1.89,0.11,0.0,0.3,2.4,2.7,0.1,0.0,0.0,0.0,53.0,0.0,1.91,43.0,5.0,0.3,0.2
2023-08-13,穝λ,程,24.6,1.91,0.12,0.01,0.2,3.0,3.5,0.0,2.0,0.0,0.0,51.0,0.0,1.92,9.0,18.0,0.3,0.1
2023-08-20,穝λ,程,27.0,1.85,0.12,0.0,0.3,2.3,2.9,2.0,5.0,0.0,0.0,59.0,0.0,1.86,0.0,3.0,0.3,0.2
2023-08-27,穝λ,程,27.5,1.86,0.1,0.01,0.0,3.0,3.5,0.0,3.0,0.0,0.0,44.0,0.0,1.89,26.0,4.0,0.3,0.1
2023-09-03,穝λ,程,24.7,1.91,0.12,0.0,0.1,1.9,2.3,0.8,2.0,0.0,0.0,57.0,0.0,1.93,11.0,0.0,0.3,0.1
2023-09-10,穝λ,程,25.2,1.91,0.16,0.03,0.2,4.0,4.9,1.6,11.0,4.0,0.0,49.0,0.0,1.95,3.0,3.0,0.3,0.1
2023-09-17,穝λ,程,27.2,1.86,0.1,0.01,0.1,3.1,3.9,2.2,4.0,0.0,0.0,56.0,0.0,1.89,30.0,14.0,0.3,0.1
2023-09-24,穝λ,程,27.1,1.9,0.11,0.03,0.1,4.3,4.8,4.6,6.0,0.0,0.0,45.0,0.0,1.94,22.0,3.0,0.3,0.2
2023-10-01,穝λ,程,24.9,1.93,0.15,0.0,0.2,2.6,3.5,1.9,1.0,0.0,0.0,47.0,0.0,1.95,17.0,8.0,0.3,0.0
2023-10-08,穝λ,程,23.4,1.95,0.16,0.01,0.0,3.3,3.7,29.1,1.0,0.0,0.0,51.0,0.0,1.97,26.0,22.0,0.3,0.7
2023-10-15,穝λ,程,22.0,1.51,0.2,0.03,0.0,4.6,4.7,4.0,5.0,0.0,0.0,45.0,0.1,1.56,26.0,17.0,0.3,0.1
2023-10-22,穝λ,程,20.9,1.95,0.16,0.01,0.0,3.0,3.2,1.1,3.0,0.0,0.0,58.0,0.1,1.99,23.0,14.0,0.3,0.1
2023-10-29,穝λ,程,22.3,1.93,0.15,0.03,0.3,4.3,5.0,3.7,1.0,0.0,0.0,49.0,0.0,1.96,4.0,5.0,0.3,0.1
