ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,闽,程,24.7,NaN,0.32,NaN,11.2,7.4,16.7,43.6,26.0,24.0,2.5,100.0,1.6,NaN,359.0,360.0,3.3,2.7
2023-01-08,闽,程,27.3,NaN,0.41,NaN,14.3,9.3,20.8,53.1,28.0,21.0,2.0,100.0,1.7,NaN,360.0,359.0,3.0,2.8
2023-01-15,闽,程,24.0,NaN,0.43,NaN,8.0,10.5,15.9,48.2,85.0,81.0,0.0,94.0,2.4,NaN,359.0,360.0,3.5,2.8
2023-01-22,闽,程,24.9,NaN,0.38,NaN,5.1,9.3,11.9,42.9,48.0,42.0,1.0,100.0,2.2,NaN,359.0,359.0,3.2,2.8
2023-01-29,闽,程,25.4,NaN,0.29,NaN,4.0,12.4,14.3,49.6,36.0,20.0,0.5,100.0,1.6,NaN,359.0,359.0,3.4,2.5
2023-02-05,闽,程,28.2,NaN,0.33,NaN,6.1,8.7,10.6,41.5,19.0,10.0,3.5,100.0,1.1,NaN,359.0,357.0,3.4,3.0
2023-02-12,闽,程,29.0,NaN,0.35,NaN,7.1,7.7,14.8,47.5,47.0,18.0,0.0,95.0,2.0,NaN,360.0,359.0,3.6,3.1
2023-02-19,闽,程,27.4,NaN,0.46,NaN,2.5,5.7,8.3,56.6,54.0,19.0,0.0,95.0,1.9,NaN,360.0,359.0,4.2,3.3
2023-02-26,闽,程,28.1,NaN,0.34,NaN,3.1,8.3,9.7,61.1,59.0,38.0,0.0,92.0,2.1,NaN,359.0,358.0,3.5,2.7
2023-03-05,闽,程,27.6,NaN,0.26,NaN,3.1,12.1,15.3,57.8,34.0,15.0,0.0,89.0,2.1,NaN,359.0,359.0,2.6,2.3
2023-03-12,闽,程,28.7,NaN,0.29,NaN,3.2,6.9,10.0,50.3,33.0,12.0,2.5,97.0,1.9,NaN,356.0,358.0,3.9,3.2
2023-03-19,闽,程,32.2,NaN,0.29,NaN,4.7,5.9,10.6,52.2,42.0,26.0,1.5,100.0,1.2,NaN,358.0,359.0,3.3,3.1
2023-03-26,闽,程,28.7,NaN,0.37,NaN,1.8,6.4,8.3,51.7,58.0,15.0,3.0,100.0,1.4,NaN,359.0,359.0,2.9,2.2
2023-04-02,闽,程,26.7,NaN,0.42,NaN,3.9,6.7,8.4,59.7,88.0,31.0,2.0,98.0,1.2,NaN,358.0,359.0,3.2,2.9
2023-04-09,闽,程,31.8,NaN,0.38,NaN,4.9,5.4,10.1,53.7,57.0,20.0,1.5,97.0,1.6,NaN,359.0,357.0,3.4,2.8
2023-04-16,闽,程,35.5,NaN,0.43,NaN,2.6,8.2,10.5,70.3,106.0,34.0,17.5,98.0,1.1,NaN,359.0,359.0,4.8,3.4
