ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,沉糳,程,16.4,1.98,0.12,0.0,0.0,1.6,1.9,25.7,15.0,5.0,0.0,63.0,0.8,1.97,0.0,0.0,1.8,2.0
2023-01-08,沉糳,程,16.6,1.86,0.11,0.0,0.0,1.6,1.6,1.5,15.0,4.0,0.0,54.0,0.8,1.86,0.0,0.0,0.4,0.4
2023-01-15,沉糳,程,13.3,2.01,0.13,0.0,0.0,2.2,2.4,7.5,15.0,5.0,0.0,74.0,0.8,2.02,0.0,0.0,2.4,1.3
2023-01-22,沉糳,程,9.0,2.0,0.16,0.0,0.0,1.6,2.1,10.6,15.0,4.0,0.0,49.0,0.9,1.99,0.0,0.0,0.2,0.2
2023-01-29,沉糳,程,9.6,1.99,0.16,0.0,0.0,1.9,2.1,4.7,25.0,8.0,0.0,39.0,0.8,1.96,0.0,0.0,0.3,0.2
2023-02-05,沉糳,程,15.6,2.0,0.18,0.0,0.0,1.9,2.1,2.2,13.0,6.0,0.0,86.0,0.8,1.99,0.0,0.0,0.8,0.5
2023-02-12,沉糳,程,12.6,1.93,0.14,0.0,0.0,2.0,2.0,1.8,17.0,4.0,0.0,54.0,0.6,1.98,0.0,0.0,0.3,0.2
2023-02-19,沉糳,程,14.1,1.99,0.15,0.0,0.0,1.6,2.0,14.3,11.0,5.0,0.0,50.0,0.8,2.0,0.0,0.0,0.9,0.7
2023-02-26,沉糳,程,13.0,1.99,0.13,0.0,0.0,1.8,2.4,24.7,15.0,6.0,0.0,41.0,1.0,1.99,0.0,0.0,0.3,0.3
2023-03-05,沉糳,程,12.4,1.96,0.16,0.0,0.0,2.4,2.5,2.4,27.0,12.0,0.0,30.0,1.0,1.96,0.0,0.0,0.3,0.0
