ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,琄,程,24.3,NaN,0.27,NaN,1.1,1.9,2.4,59.7,27.0,15.0,1.5,98.0,1.5,NaN,66.0,67.0,13.9,13.0
2023-01-08,琄,程,28.9,NaN,0.34,NaN,1.2,3.3,3.3,60.2,44.0,17.0,1.5,97.0,1.1,NaN,337.0,336.0,11.0,10.4
2023-01-15,琄,程,24.6,NaN,0.33,NaN,0.9,4.9,5.0,53.0,27.0,24.0,2.0,97.0,2.8,NaN,357.0,353.0,11.7,11.3
2023-01-22,琄,程,26.7,NaN,0.31,NaN,0.9,1.9,2.3,48.9,34.0,17.0,3.5,98.0,2.6,NaN,359.0,357.0,13.7,12.7
2023-01-29,琄,程,25.7,NaN,0.25,NaN,1.0,1.3,2.2,57.9,22.0,13.0,3.0,95.0,1.2,NaN,71.0,86.0,11.2,10.8
2023-02-05,琄,程,28.5,NaN,0.28,NaN,1.3,1.6,2.6,43.2,19.0,11.0,1.0,98.0,1.3,NaN,197.0,225.0,11.5,11.0
2023-02-12,琄,程,30.0,NaN,0.32,NaN,1.2,1.9,2.7,53.7,21.0,11.0,2.0,97.0,1.4,NaN,355.0,350.0,11.7,11.4
2023-02-19,琄,程,27.5,NaN,0.46,NaN,1.0,3.8,4.5,60.2,40.0,22.0,0.5,91.0,1.4,NaN,357.0,360.0,14.3,13.0
2023-02-26,琄,程,26.8,NaN,0.33,NaN,1.1,2.8,3.0,72.7,51.0,35.0,0.0,86.0,1.3,NaN,213.0,217.0,13.3,12.4
2023-03-05,琄,程,26.1,NaN,0.22,NaN,1.1,2.1,2.4,75.5,30.0,18.0,0.0,79.0,1.7,NaN,229.0,233.0,11.0,9.4
2023-03-12,琄,程,27.6,NaN,0.27,NaN,1.4,2.9,3.3,76.4,21.0,15.0,0.5,93.0,1.7,NaN,210.0,350.0,13.3,12.7
2023-03-19,琄,程,31.2,NaN,0.25,NaN,1.4,6.8,7.6,64.3,40.0,29.0,0.0,97.0,2.7,NaN,344.0,349.0,9.0,8.5
2023-03-26,琄,程,28.9,NaN,0.41,NaN,0.9,5.3,5.8,90.5,38.0,32.0,2.5,97.0,1.5,NaN,359.0,359.0,11.4,10.8
2023-04-02,琄,程,30.4,NaN,0.4,NaN,1.2,3.6,4.3,70.9,69.0,34.0,0.0,99.0,1.1,NaN,359.0,350.0,12.2,11.9
2023-04-09,琄,程,31.9,NaN,0.45,NaN,1.8,8.3,9.9,63.9,155.0,29.0,0.5,91.0,3.1,NaN,354.0,358.0,10.0,9.7
2023-04-16,琄,程,30.6,NaN,0.44,NaN,2.5,8.9,9.4,87.5,33.0,23.0,0.0,100.0,1.6,NaN,348.0,345.0,7.5,7.4
2023-04-23,琄,程,31.5,NaN,0.23,NaN,1.2,2.9,3.4,58.0,51.0,24.0,2.0,100.0,0.9,NaN,350.0,355.0,11.2,10.6
2023-04-30,琄,程,32.2,NaN,0.28,NaN,1.0,3.0,3.7,62.8,25.0,13.0,1.5,100.0,0.9,NaN,312.0,356.0,10.7,10.5
2023-05-07,琄,程,33.9,NaN,0.26,NaN,1.2,6.1,6.9,73.2,48.0,17.0,2.0,100.0,1.3,NaN,345.0,357.0,9.7,8.8
