ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2023-01-01,狥,程,17.5,1.99,0.22,0.02,0.2,5.2,5.7,1.0,14.0,10.0,0.0,47.0,0.4,2.03,1.0,0.0,0.2,0.2
2023-01-08,狥,程,19.7,1.92,0.17,0.03,0.3,5.3,6.9,0.8,23.0,4.0,0.0,43.0,0.7,1.96,5.0,0.0,0.3,0.1
2023-01-15,狥,程,15.5,2.0,0.16,0.01,0.1,4.5,4.8,3.9,15.0,8.0,0.0,38.0,0.7,2.05,3.0,1.0,0.3,0.1
2023-01-22,狥,程,11.3,1.96,0.2,0.01,0.0,3.8,4.6,10.6,15.0,4.0,0.0,30.0,0.4,1.97,1.0,0.0,0.3,0.0
2023-01-29,狥,程,12.5,1.97,0.25,0.03,0.2,5.5,6.4,1.1,32.0,9.0,0.0,31.0,0.5,2.02,0.0,0.0,0.2,0.0
2023-02-05,狥,程,18.5,1.94,0.19,0.03,0.2,5.2,5.8,2.3,23.0,11.0,0.0,44.0,0.4,1.98,0.0,0.0,0.2,0.1
2023-02-12,狥,程,15.5,1.92,0.13,0.0,0.2,3.8,4.8,3.1,15.0,8.0,0.0,32.0,0.5,1.92,0.0,0.0,0.4,0.1
2023-02-19,狥,程,15.9,2.0,0.2,0.03,0.2,4.7,5.4,8.8,23.0,14.0,0.0,36.0,0.5,2.04,4.0,0.0,0.3,0.2
2023-02-26,狥,程,14.7,1.98,0.21,0.03,0.4,5.1,6.3,11.0,25.0,8.0,0.0,27.0,0.8,2.02,0.0,0.0,0.2,0.2
2023-03-05,狥,程,17.3,1.96,0.19,0.01,0.2,4.5,5.2,14.9,24.0,11.0,0.0,24.0,0.6,1.99,0.0,0.0,0.2,0.0
2023-03-12,狥,程,18.4,1.97,0.22,0.0,0.1,4.3,5.3,7.4,24.0,6.0,0.0,33.0,0.7,1.99,0.0,0.0,0.4,0.2
2023-03-19,狥,程,20.7,1.94,0.16,0.01,0.1,4.2,5.1,0.3,20.0,9.0,0.0,40.0,0.7,1.98,1.0,2.0,0.2,0.0
2023-03-26,狥,程,20.3,1.98,0.24,0.02,0.0,5.3,5.7,5.6,16.0,10.0,0.0,42.0,0.5,2.01,2.0,1.0,0.3,0.1
